experiment_name,measurement_id,time_s,power_watts
baseline_bigcodebench_20260517_210815,1,0.0,116.59
baseline_bigcodebench_20260517_210815,1,0.1,116.58
baseline_bigcodebench_20260517_210815,1,0.2,116.69
baseline_bigcodebench_20260517_210815,1,0.3,116.4
baseline_bigcodebench_20260517_210815,1,0.4,116.61
baseline_bigcodebench_20260517_210815,1,0.5,116.59
baseline_bigcodebench_20260517_210815,1,0.6,116.5
baseline_bigcodebench_20260517_210815,1,0.7,116.58
baseline_bigcodebench_20260517_210815,1,0.8,116.61
baseline_bigcodebench_20260517_210815,1,0.9,116.48
baseline_bigcodebench_20260517_210815,1,1.0,116.61
baseline_bigcodebench_20260517_210815,1,1.1,116.59
baseline_bigcodebench_20260517_210815,1,1.2,116.5
baseline_bigcodebench_20260517_210815,1,1.3,116.48
baseline_bigcodebench_20260517_210815,1,1.4,116.58
baseline_bigcodebench_20260517_210815,1,1.5,116.41
baseline_bigcodebench_20260517_210815,1,1.6,116.69
baseline_bigcodebench_20260517_210815,1,1.7,116.47
baseline_bigcodebench_20260517_210815,1,1.8,116.67
baseline_bigcodebench_20260517_210815,1,1.9,116.57
baseline_bigcodebench_20260517_210815,1,2.0,116.66
baseline_bigcodebench_20260517_210815,1,2.1,116.58
baseline_bigcodebench_20260517_210815,1,2.2,116.58
baseline_bigcodebench_20260517_210815,1,2.3,116.48
baseline_bigcodebench_20260517_210815,1,2.4,116.68
baseline_bigcodebench_20260517_210815,1,2.5,116.56
baseline_bigcodebench_20260517_210815,1,2.6,116.48
baseline_bigcodebench_20260517_210815,1,2.7,116.47
baseline_bigcodebench_20260517_210815,1,2.8,116.48
baseline_bigcodebench_20260517_210815,1,2.9,116.39
baseline_bigcodebench_20260517_210815,1,3.0,116.68
baseline_bigcodebench_20260517_210815,1,3.1,116.47
baseline_bigcodebench_20260517_210815,1,3.2,116.48
baseline_bigcodebench_20260517_210815,1,3.3,116.58
baseline_bigcodebench_20260517_210815,1,3.4,116.37
baseline_bigcodebench_20260517_210815,1,3.5,116.68
baseline_bigcodebench_20260517_210815,1,3.6,116.68
baseline_bigcodebench_20260517_210815,1,3.7,116.47
baseline_bigcodebench_20260517_210815,1,3.8,116.68
baseline_bigcodebench_20260517_210815,1,3.9,116.48
baseline_bigcodebench_20260517_210815,1,4.0,116.39
baseline_bigcodebench_20260517_210815,1,4.1,116.58
baseline_bigcodebench_20260517_210815,1,4.2,116.48
baseline_bigcodebench_20260517_210815,1,4.3,116.57
baseline_bigcodebench_20260517_210815,1,4.4,116.58
baseline_bigcodebench_20260517_210815,1,4.5,116.67
baseline_bigcodebench_20260517_210815,1,4.6,116.67
baseline_bigcodebench_20260517_210815,1,4.7,116.58
baseline_bigcodebench_20260517_210815,1,4.8,116.57
baseline_bigcodebench_20260517_210815,1,4.9,116.57
baseline_bigcodebench_20260517_210815,1,5.0,116.37
baseline_bigcodebench_20260517_210815,1,5.1,116.58
baseline_bigcodebench_20260517_210815,1,5.2,116.57
baseline_bigcodebench_20260517_210815,1,5.3,116.57
baseline_bigcodebench_20260517_210815,1,5.4,116.61
baseline_bigcodebench_20260517_210815,1,5.5,116.51
baseline_bigcodebench_20260517_210815,1,5.6,116.61
baseline_bigcodebench_20260517_210815,1,5.7,116.51
baseline_bigcodebench_20260517_210815,1,5.8,116.8
baseline_bigcodebench_20260517_210815,1,5.9,116.61
baseline_bigcodebench_20260517_210815,1,6.0,116.41
baseline_bigcodebench_20260517_210815,1,6.1,116.61
baseline_bigcodebench_20260517_210815,1,6.2,116.59
baseline_bigcodebench_20260517_210815,1,6.3,116.4
baseline_bigcodebench_20260517_210815,1,6.4,116.58
baseline_bigcodebench_20260517_210815,1,6.5,116.58
baseline_bigcodebench_20260517_210815,1,6.6,116.59
baseline_bigcodebench_20260517_210815,1,6.7,116.58
baseline_bigcodebench_20260517_210815,1,6.8,116.41
baseline_bigcodebench_20260517_210815,1,6.9,116.69
baseline_bigcodebench_20260517_210815,1,7.0,116.58
baseline_bigcodebench_20260517_210815,1,7.1,116.61
baseline_bigcodebench_20260517_210815,1,7.2,116.51
baseline_bigcodebench_20260517_210815,1,7.3,116.5
baseline_bigcodebench_20260517_210815,1,7.4,116.51
baseline_bigcodebench_20260517_210815,1,7.5,116.51
baseline_bigcodebench_20260517_210815,1,7.6,116.48
baseline_bigcodebench_20260517_210815,1,7.7,116.68
baseline_bigcodebench_20260517_210815,1,7.8,116.47
baseline_bigcodebench_20260517_210815,1,7.9,116.58
baseline_bigcodebench_20260517_210815,1,8.0,116.58
baseline_bigcodebench_20260517_210815,1,8.1,116.57
baseline_bigcodebench_20260517_210815,1,8.2,116.47
baseline_bigcodebench_20260517_210815,1,8.3,116.58
baseline_bigcodebench_20260517_210815,1,8.4,116.58
baseline_bigcodebench_20260517_210815,1,8.5,116.47
baseline_bigcodebench_20260517_210815,1,8.6,116.58
baseline_bigcodebench_20260517_210815,1,8.7,116.57
baseline_bigcodebench_20260517_210815,1,8.8,116.57
baseline_bigcodebench_20260517_210815,1,8.9,116.39
baseline_bigcodebench_20260517_210815,1,9.0,116.47
baseline_bigcodebench_20260517_210815,1,9.1,116.39
baseline_bigcodebench_20260517_210815,1,9.2,116.41
baseline_bigcodebench_20260517_210815,1,9.3,116.5
baseline_bigcodebench_20260517_210815,1,9.4,116.5
baseline_bigcodebench_20260517_210815,1,9.5,116.69
baseline_bigcodebench_20260517_210815,1,9.6,116.61
baseline_bigcodebench_20260517_210815,1,9.7,116.48
baseline_bigcodebench_20260517_210815,1,9.8,116.48
baseline_bigcodebench_20260517_210815,1,9.9,116.57
baseline_bigcodebench_20260517_210815,1,10.0,116.58
baseline_bigcodebench_20260517_210815,1,10.1,116.57
baseline_bigcodebench_20260517_210815,1,10.2,116.48
baseline_bigcodebench_20260517_210815,1,10.3,116.58
baseline_bigcodebench_20260517_210815,1,10.4,116.47
baseline_bigcodebench_20260517_210815,1,10.5,116.48
baseline_bigcodebench_20260517_210815,1,10.6,116.48
baseline_bigcodebench_20260517_210815,1,10.7,116.48
baseline_bigcodebench_20260517_210815,1,10.8,116.58
baseline_bigcodebench_20260517_210815,1,10.9,116.48
baseline_bigcodebench_20260517_210815,1,11.0,116.57
baseline_bigcodebench_20260517_210815,1,11.1,116.57
baseline_bigcodebench_20260517_210815,1,11.2,116.47
baseline_bigcodebench_20260517_210815,1,11.3,116.37
baseline_bigcodebench_20260517_210815,1,11.4,116.57
baseline_bigcodebench_20260517_210815,1,11.5,116.68
baseline_bigcodebench_20260517_210815,1,11.6,116.57
baseline_bigcodebench_20260517_210815,1,11.7,116.47
baseline_bigcodebench_20260517_210815,1,11.8,116.47
baseline_bigcodebench_20260517_210815,1,11.9,116.57
baseline_bigcodebench_20260517_210815,1,12.0,116.57
baseline_bigcodebench_20260517_210815,1,12.1,116.37
baseline_bigcodebench_20260517_210815,1,12.2,116.47
baseline_bigcodebench_20260517_210815,1,12.3,116.57
baseline_bigcodebench_20260517_210815,1,12.4,116.37
baseline_bigcodebench_20260517_210815,1,12.5,116.46
baseline_bigcodebench_20260517_210815,1,12.6,116.37
baseline_bigcodebench_20260517_210815,1,12.7,116.46
baseline_bigcodebench_20260517_210815,1,12.8,116.36
baseline_bigcodebench_20260517_210815,1,12.9,116.57
baseline_bigcodebench_20260517_210815,1,13.0,116.47
baseline_bigcodebench_20260517_210815,1,13.1,116.37
baseline_bigcodebench_20260517_210815,1,13.2,116.57
baseline_bigcodebench_20260517_210815,1,13.3,116.47
baseline_bigcodebench_20260517_210815,1,13.4,116.48
baseline_bigcodebench_20260517_210815,1,13.5,116.54
baseline_bigcodebench_20260517_210815,1,13.6,116.57
baseline_bigcodebench_20260517_210815,1,13.7,116.48
baseline_bigcodebench_20260517_210815,1,13.8,116.39
baseline_bigcodebench_20260517_210815,1,13.9,116.37
baseline_bigcodebench_20260517_210815,1,14.0,116.48
baseline_bigcodebench_20260517_210815,1,14.1,116.37
baseline_bigcodebench_20260517_210815,1,14.2,116.57
baseline_bigcodebench_20260517_210815,1,14.3,116.48
baseline_bigcodebench_20260517_210815,1,14.4,116.5
baseline_bigcodebench_20260517_210815,1,14.5,116.48
baseline_bigcodebench_20260517_210815,1,14.6,116.39
baseline_bigcodebench_20260517_210815,1,14.7,116.48
baseline_bigcodebench_20260517_210815,1,14.8,116.39
baseline_bigcodebench_20260517_210815,1,14.9,116.58
baseline_bigcodebench_20260517_210815,1,15.0,116.29
baseline_bigcodebench_20260517_210815,1,15.1,116.48
baseline_bigcodebench_20260517_210815,1,15.2,116.48
baseline_bigcodebench_20260517_210815,1,15.3,116.39
baseline_bigcodebench_20260517_210815,1,15.4,116.47
baseline_bigcodebench_20260517_210815,1,15.5,116.37
baseline_bigcodebench_20260517_210815,1,15.6,116.57
baseline_bigcodebench_20260517_210815,1,15.7,116.47
baseline_bigcodebench_20260517_210815,1,15.8,116.57
baseline_bigcodebench_20260517_210815,1,15.9,116.68
baseline_bigcodebench_20260517_210815,1,16.0,116.47
baseline_bigcodebench_20260517_210815,1,16.1,116.47
baseline_bigcodebench_20260517_210815,1,16.2,116.28
baseline_bigcodebench_20260517_210815,1,16.3,116.47
baseline_bigcodebench_20260517_210815,1,16.4,116.47
baseline_bigcodebench_20260517_210815,1,16.5,116.39
baseline_bigcodebench_20260517_210815,1,16.6,116.47
baseline_bigcodebench_20260517_210815,1,16.7,116.4
baseline_bigcodebench_20260517_210815,1,16.8,116.48
baseline_bigcodebench_20260517_210815,1,16.9,116.4
baseline_bigcodebench_20260517_210815,1,17.0,116.39
baseline_bigcodebench_20260517_210815,1,17.1,116.4
baseline_bigcodebench_20260517_210815,1,17.2,116.28
baseline_bigcodebench_20260517_210815,1,17.3,116.37
baseline_bigcodebench_20260517_210815,1,17.4,116.28
baseline_bigcodebench_20260517_210815,1,17.5,116.28
baseline_bigcodebench_20260517_210815,1,17.6,116.37
baseline_bigcodebench_20260517_210815,1,17.7,116.37
baseline_bigcodebench_20260517_210815,1,17.8,116.36
baseline_bigcodebench_20260517_210815,1,17.9,116.28
baseline_bigcodebench_20260517_210815,1,18.0,116.47
baseline_bigcodebench_20260517_210815,1,18.1,116.37
baseline_bigcodebench_20260517_210815,1,18.2,116.28
baseline_bigcodebench_20260517_210815,1,18.3,116.37
baseline_bigcodebench_20260517_210815,1,18.4,116.47
baseline_bigcodebench_20260517_210815,1,18.5,116.28
baseline_bigcodebench_20260517_210815,1,18.6,116.37
baseline_bigcodebench_20260517_210815,1,18.7,116.18
baseline_bigcodebench_20260517_210815,1,18.8,116.37
baseline_bigcodebench_20260517_210815,1,18.9,116.47
baseline_bigcodebench_20260517_210815,1,19.0,116.67
baseline_bigcodebench_20260517_210815,1,19.1,116.76
baseline_bigcodebench_20260517_210815,1,19.2,116.86
baseline_bigcodebench_20260517_210815,1,19.3,116.76
baseline_bigcodebench_20260517_210815,1,19.4,116.76
baseline_bigcodebench_20260517_210815,1,19.5,116.86
baseline_bigcodebench_20260517_210815,1,19.6,116.86
baseline_bigcodebench_20260517_210815,1,19.7,116.67
baseline_bigcodebench_20260517_210815,1,19.8,116.85
baseline_bigcodebench_20260517_210815,1,19.9,116.86
baseline_bigcodebench_20260517_210815,1,20.0,116.86
baseline_bigcodebench_20260517_210815,1,20.1,116.76
baseline_bigcodebench_20260517_210815,1,20.2,116.75
baseline_bigcodebench_20260517_210815,1,20.3,116.76
baseline_bigcodebench_20260517_210815,1,20.4,116.76
baseline_bigcodebench_20260517_210815,1,20.5,116.86
baseline_bigcodebench_20260517_210815,1,20.6,116.67
baseline_bigcodebench_20260517_210815,1,20.7,116.86
baseline_bigcodebench_20260517_210815,1,20.8,116.86
baseline_bigcodebench_20260517_210815,1,20.9,116.76
baseline_bigcodebench_20260517_210815,1,21.0,116.76
baseline_bigcodebench_20260517_210815,1,21.1,116.57
baseline_bigcodebench_20260517_210815,1,21.2,116.86
baseline_bigcodebench_20260517_210815,1,21.3,116.86
baseline_bigcodebench_20260517_210815,1,21.4,116.86
baseline_bigcodebench_20260517_210815,1,21.5,116.86
baseline_bigcodebench_20260517_210815,1,21.6,116.76
