experiment_name,measurement_id,time_s,power_watts
router_bigcodebench_20260529_080855,1,0.0,121.88
router_bigcodebench_20260529_080855,1,0.1,122.38
router_bigcodebench_20260529_080855,1,0.2,122.38
router_bigcodebench_20260529_080855,1,0.3,122.48
router_bigcodebench_20260529_080855,1,0.4,122.2
router_bigcodebench_20260529_080855,1,0.5,122.38
router_bigcodebench_20260529_080855,1,0.6,122.27
router_bigcodebench_20260529_080855,1,0.7,122.28
router_bigcodebench_20260529_080855,1,0.8,122.17
router_bigcodebench_20260529_080855,1,0.9,122.37
router_bigcodebench_20260529_080855,1,1.0,122.38
router_bigcodebench_20260529_080855,1,1.1,122.38
router_bigcodebench_20260529_080855,1,1.2,122.38
router_bigcodebench_20260529_080855,1,1.3,122.4
router_bigcodebench_20260529_080855,1,1.4,122.38
router_bigcodebench_20260529_080855,1,1.5,122.38
router_bigcodebench_20260529_080855,1,1.6,122.27
router_bigcodebench_20260529_080855,1,1.7,122.26
router_bigcodebench_20260529_080855,1,1.8,122.37
router_bigcodebench_20260529_080855,1,1.9,122.15
router_bigcodebench_20260529_080855,1,2.0,122.36
router_bigcodebench_20260529_080855,1,2.1,122.36
router_bigcodebench_20260529_080855,1,2.2,122.37
router_bigcodebench_20260529_080855,1,2.3,122.16
router_bigcodebench_20260529_080855,1,2.4,122.27
router_bigcodebench_20260529_080855,1,2.5,122.26
router_bigcodebench_20260529_080855,1,2.6,122.27
router_bigcodebench_20260529_080855,1,2.7,122.15
router_bigcodebench_20260529_080855,1,2.8,122.16
router_bigcodebench_20260529_080855,1,2.9,122.16
router_bigcodebench_20260529_080855,1,3.0,122.26
router_bigcodebench_20260529_080855,1,3.1,122.16
router_bigcodebench_20260529_080855,1,3.2,122.26
router_bigcodebench_20260529_080855,1,3.3,122.06
router_bigcodebench_20260529_080855,1,3.4,122.06
router_bigcodebench_20260529_080855,1,3.5,122.06
router_bigcodebench_20260529_080855,1,3.6,122.06
router_bigcodebench_20260529_080855,1,3.7,122.26
router_bigcodebench_20260529_080855,1,3.8,121.97
router_bigcodebench_20260529_080855,1,3.9,121.65
router_bigcodebench_20260529_080855,1,4.0,121.67
router_bigcodebench_20260529_080855,1,4.1,121.67
router_bigcodebench_20260529_080855,1,4.2,121.67
router_bigcodebench_20260529_080855,1,4.3,121.58
router_bigcodebench_20260529_080855,1,4.4,121.67
router_bigcodebench_20260529_080855,1,4.5,121.58
router_bigcodebench_20260529_080855,1,4.6,121.66
router_bigcodebench_20260529_080855,1,4.7,121.67
router_bigcodebench_20260529_080855,1,4.8,121.63
router_bigcodebench_20260529_080855,1,4.9,121.58
router_bigcodebench_20260529_080855,1,5.0,121.67
router_bigcodebench_20260529_080855,1,5.1,121.58
router_bigcodebench_20260529_080855,1,5.2,121.67
router_bigcodebench_20260529_080855,1,5.3,121.58
router_bigcodebench_20260529_080855,1,5.4,121.76
router_bigcodebench_20260529_080855,1,5.5,121.58
router_bigcodebench_20260529_080855,1,5.6,121.67
router_bigcodebench_20260529_080855,1,5.7,121.69
router_bigcodebench_20260529_080855,1,5.8,121.58
router_bigcodebench_20260529_080855,1,5.9,121.58
router_bigcodebench_20260529_080855,1,6.0,121.58
router_bigcodebench_20260529_080855,1,6.1,121.67
router_bigcodebench_20260529_080855,1,6.2,121.67
router_bigcodebench_20260529_080855,1,6.3,121.51
router_bigcodebench_20260529_080855,1,6.4,121.63
router_bigcodebench_20260529_080855,1,6.5,121.67
router_bigcodebench_20260529_080855,1,6.6,121.58
router_bigcodebench_20260529_080855,1,6.7,121.51
router_bigcodebench_20260529_080855,1,6.8,121.59
router_bigcodebench_20260529_080855,1,6.9,121.49
router_bigcodebench_20260529_080855,1,7.0,121.61
router_bigcodebench_20260529_080855,1,7.1,121.63
router_bigcodebench_20260529_080855,1,7.2,121.43
router_bigcodebench_20260529_080855,1,7.3,121.48
router_bigcodebench_20260529_080855,1,7.4,121.48
router_bigcodebench_20260529_080855,1,7.5,121.48
router_bigcodebench_20260529_080855,1,7.6,121.48
router_bigcodebench_20260529_080855,1,7.7,121.48
router_bigcodebench_20260529_080855,1,7.8,121.51
router_bigcodebench_20260529_080855,1,7.9,121.51
router_bigcodebench_20260529_080855,1,8.0,121.49
router_bigcodebench_20260529_080855,1,8.1,121.31
router_bigcodebench_20260529_080855,1,8.2,121.42
router_bigcodebench_20260529_080855,1,8.3,121.27
router_bigcodebench_20260529_080855,1,8.4,121.38
router_bigcodebench_20260529_080855,1,8.5,121.38
router_bigcodebench_20260529_080855,1,8.6,121.68
router_bigcodebench_20260529_080855,1,8.7,121.87
router_bigcodebench_20260529_080855,1,8.8,121.77
router_bigcodebench_20260529_080855,1,8.9,121.68
router_bigcodebench_20260529_080855,1,9.0,121.67
router_bigcodebench_20260529_080855,1,9.1,121.77
router_bigcodebench_20260529_080855,1,9.2,121.77
router_bigcodebench_20260529_080855,1,9.3,121.77
router_bigcodebench_20260529_080855,1,9.4,121.77
router_bigcodebench_20260529_080855,1,9.5,121.77
router_bigcodebench_20260529_080855,1,9.6,121.19
router_bigcodebench_20260529_080855,1,9.7,121.19
router_bigcodebench_20260529_080855,1,9.8,121.19
router_bigcodebench_20260529_080855,1,9.9,121.19
router_bigcodebench_20260529_080855,1,10.0,121.48
router_bigcodebench_20260529_080855,1,10.1,121.48
router_bigcodebench_20260529_080855,1,10.2,121.56
router_bigcodebench_20260529_080855,1,10.3,121.48
router_bigcodebench_20260529_080855,1,10.4,121.48
router_bigcodebench_20260529_080855,1,10.5,121.49
router_bigcodebench_20260529_080855,1,10.6,121.5
router_bigcodebench_20260529_080855,1,10.7,121.4
router_bigcodebench_20260529_080855,1,10.8,121.58
router_bigcodebench_20260529_080855,1,10.9,121.59
router_bigcodebench_20260529_080855,1,11.0,121.48
router_bigcodebench_20260529_080855,1,11.1,121.58
router_bigcodebench_20260529_080855,1,11.2,121.58
router_bigcodebench_20260529_080855,1,11.3,121.38
router_bigcodebench_20260529_080855,1,11.4,121.58
router_bigcodebench_20260529_080855,1,11.5,121.4
router_bigcodebench_20260529_080855,1,11.6,121.38
router_bigcodebench_20260529_080855,1,11.7,121.48
router_bigcodebench_20260529_080855,1,11.8,121.48
router_bigcodebench_20260529_080855,1,11.9,121.68
router_bigcodebench_20260529_080855,1,12.0,121.48
router_bigcodebench_20260529_080855,1,12.1,121.48
router_bigcodebench_20260529_080855,1,12.2,121.48
router_bigcodebench_20260529_080855,1,12.3,121.48
router_bigcodebench_20260529_080855,1,12.4,121.38
router_bigcodebench_20260529_080855,1,12.5,121.38
router_bigcodebench_20260529_080855,1,12.6,121.58
router_bigcodebench_20260529_080855,1,12.7,121.38
router_bigcodebench_20260529_080855,1,12.8,121.48
router_bigcodebench_20260529_080855,1,12.9,121.48
router_bigcodebench_20260529_080855,1,13.0,121.48
router_bigcodebench_20260529_080855,1,13.1,121.29
router_bigcodebench_20260529_080855,1,13.2,121.48
router_bigcodebench_20260529_080855,1,13.3,121.38
router_bigcodebench_20260529_080855,1,13.4,121.38
router_bigcodebench_20260529_080855,1,13.5,121.48
router_bigcodebench_20260529_080855,1,13.6,121.4
router_bigcodebench_20260529_080855,1,13.7,121.48
router_bigcodebench_20260529_080855,1,13.8,121.58
router_bigcodebench_20260529_080855,1,13.9,121.38
router_bigcodebench_20260529_080855,1,14.0,121.38
router_bigcodebench_20260529_080855,1,14.1,121.48
router_bigcodebench_20260529_080855,1,14.2,121.38
router_bigcodebench_20260529_080855,1,14.3,121.29
router_bigcodebench_20260529_080855,1,14.4,121.48
router_bigcodebench_20260529_080855,1,14.5,121.38
router_bigcodebench_20260529_080855,1,14.6,121.28
router_bigcodebench_20260529_080855,1,14.7,121.29
router_bigcodebench_20260529_080855,1,14.8,121.38
router_bigcodebench_20260529_080855,1,14.9,121.28
router_bigcodebench_20260529_080855,1,15.0,121.28
router_bigcodebench_20260529_080855,1,15.1,121.19
router_bigcodebench_20260529_080855,1,15.2,121.38
router_bigcodebench_20260529_080855,1,15.3,121.38
router_bigcodebench_20260529_080855,1,15.4,121.28
router_bigcodebench_20260529_080855,1,15.5,121.28
router_bigcodebench_20260529_080855,1,15.6,121.0
router_bigcodebench_20260529_080855,1,15.7,120.9
router_bigcodebench_20260529_080855,1,15.8,121.09
router_bigcodebench_20260529_080855,1,15.9,120.9
router_bigcodebench_20260529_080855,1,16.0,120.9
router_bigcodebench_20260529_080855,1,16.1,121.09
router_bigcodebench_20260529_080855,1,16.2,120.9
router_bigcodebench_20260529_080855,1,16.3,120.9
router_bigcodebench_20260529_080855,1,16.4,121.09
router_bigcodebench_20260529_080855,1,16.5,120.99
router_bigcodebench_20260529_080855,1,16.6,120.8
router_bigcodebench_20260529_080855,1,16.7,120.8
router_bigcodebench_20260529_080855,1,16.8,120.91
router_bigcodebench_20260529_080855,1,16.9,120.99
router_bigcodebench_20260529_080855,1,17.0,120.81
router_bigcodebench_20260529_080855,1,17.1,120.8
router_bigcodebench_20260529_080855,1,17.2,120.9
router_bigcodebench_20260529_080855,1,17.3,120.8
router_bigcodebench_20260529_080855,1,17.4,120.88
router_bigcodebench_20260529_080855,1,17.5,120.91
router_bigcodebench_20260529_080855,1,17.6,120.99
router_bigcodebench_20260529_080855,1,17.7,120.99
router_bigcodebench_20260529_080855,1,17.8,120.91
router_bigcodebench_20260529_080855,1,17.9,120.9
router_bigcodebench_20260529_080855,1,18.0,120.8
router_bigcodebench_20260529_080855,1,18.1,120.8
router_bigcodebench_20260529_080855,1,18.2,120.9
router_bigcodebench_20260529_080855,1,18.3,120.9
router_bigcodebench_20260529_080855,1,18.4,120.8
router_bigcodebench_20260529_080855,1,18.5,120.91
router_bigcodebench_20260529_080855,1,18.6,120.77
router_bigcodebench_20260529_080855,1,18.7,120.75
router_bigcodebench_20260529_080855,1,18.8,120.71
router_bigcodebench_20260529_080855,1,18.9,120.8
router_bigcodebench_20260529_080855,1,19.0,120.8
router_bigcodebench_20260529_080855,1,19.1,120.7
router_bigcodebench_20260529_080855,1,19.2,120.8
router_bigcodebench_20260529_080855,1,19.3,120.8
router_bigcodebench_20260529_080855,1,19.4,143.27
router_bigcodebench_20260529_080855,1,19.5,144.63
router_bigcodebench_20260529_080855,1,19.6,144.64
router_bigcodebench_20260529_080855,1,19.7,144.84
router_bigcodebench_20260529_080855,1,19.8,144.94
router_bigcodebench_20260529_080855,1,19.9,145.81
router_bigcodebench_20260529_080855,1,20.0,144.64
router_bigcodebench_20260529_080855,1,20.1,145.14
router_bigcodebench_20260529_080855,1,20.2,144.76
router_bigcodebench_20260529_080855,1,20.3,144.67
router_bigcodebench_20260529_080855,1,20.4,144.73
router_bigcodebench_20260529_080855,1,20.5,144.64
router_bigcodebench_20260529_080855,1,20.6,144.72
router_bigcodebench_20260529_080855,1,20.7,144.62
router_bigcodebench_20260529_080855,1,20.8,144.64
router_bigcodebench_20260529_080855,1,20.9,146.3
router_bigcodebench_20260529_080855,1,21.0,145.5
router_bigcodebench_20260529_080855,1,21.1,145.71
router_bigcodebench_20260529_080855,1,21.2,148.28
router_bigcodebench_20260529_080855,1,21.3,144.94
router_bigcodebench_20260529_080855,1,21.4,144.73
router_bigcodebench_20260529_080855,1,21.5,145.5
router_bigcodebench_20260529_080855,1,21.6,144.63
router_bigcodebench_20260529_080855,1,21.7,144.83
router_bigcodebench_20260529_080855,1,21.8,144.9
router_bigcodebench_20260529_080855,1,21.9,145.69
router_bigcodebench_20260529_080855,1,22.0,149.97
router_bigcodebench_20260529_080855,1,22.1,144.76
router_bigcodebench_20260529_080855,1,22.2,144.51
router_bigcodebench_20260529_080855,1,22.3,144.82
router_bigcodebench_20260529_080855,1,22.4,144.94
router_bigcodebench_20260529_080855,1,22.5,144.53
router_bigcodebench_20260529_080855,1,22.6,144.61
router_bigcodebench_20260529_080855,1,22.7,283.83
router_bigcodebench_20260529_080855,1,22.8,381.77
router_bigcodebench_20260529_080855,1,22.9,352.8
router_bigcodebench_20260529_080855,1,23.0,161.66
router_bigcodebench_20260529_080855,1,23.1,145.61
router_bigcodebench_20260529_080855,1,23.2,145.23
router_bigcodebench_20260529_080855,1,23.3,145.01
router_bigcodebench_20260529_080855,1,23.4,144.9
router_bigcodebench_20260529_080855,1,23.5,145.01
router_bigcodebench_20260529_080855,1,23.6,180.18
router_bigcodebench_20260529_080855,1,23.7,145.89
router_bigcodebench_20260529_080855,1,23.8,145.32
router_bigcodebench_20260529_080855,1,23.9,145.31
router_bigcodebench_20260529_080855,1,24.0,145.5
router_bigcodebench_20260529_080855,1,24.1,145.4
router_bigcodebench_20260529_080855,1,24.2,145.5
router_bigcodebench_20260529_080855,1,24.3,144.81
router_bigcodebench_20260529_080855,1,24.4,144.83
router_bigcodebench_20260529_080855,1,24.5,145.0
router_bigcodebench_20260529_080855,1,24.6,144.82
router_bigcodebench_20260529_080855,1,24.7,144.92
router_bigcodebench_20260529_080855,1,24.8,144.9
router_bigcodebench_20260529_080855,1,24.9,145.11
router_bigcodebench_20260529_080855,1,25.0,145.23
router_bigcodebench_20260529_080855,1,25.1,145.03
router_bigcodebench_20260529_080855,1,25.2,145.23
router_bigcodebench_20260529_080855,1,25.3,145.22
router_bigcodebench_20260529_080855,1,25.4,145.21
router_bigcodebench_20260529_080855,1,25.5,145.13
router_bigcodebench_20260529_080855,1,25.6,145.11
router_bigcodebench_20260529_080855,1,25.7,145.23
router_bigcodebench_20260529_080855,1,25.8,145.21
router_bigcodebench_20260529_080855,1,25.9,145.31
router_bigcodebench_20260529_080855,1,26.0,144.9
router_bigcodebench_20260529_080855,1,26.1,145.02
router_bigcodebench_20260529_080855,1,26.2,145.21
router_bigcodebench_20260529_080855,1,26.3,145.11
router_bigcodebench_20260529_080855,1,26.4,145.4
router_bigcodebench_20260529_080855,1,26.5,146.0
router_bigcodebench_20260529_080855,1,26.6,145.0
router_bigcodebench_20260529_080855,1,26.7,144.9
router_bigcodebench_20260529_080855,1,26.8,144.83
router_bigcodebench_20260529_080855,1,26.9,145.4
router_bigcodebench_20260529_080855,1,27.0,145.21
router_bigcodebench_20260529_080855,1,27.1,145.4
router_bigcodebench_20260529_080855,1,27.2,145.11
router_bigcodebench_20260529_080855,1,27.3,145.23
router_bigcodebench_20260529_080855,1,27.4,145.31
router_bigcodebench_20260529_080855,1,27.5,145.21
router_bigcodebench_20260529_080855,1,27.6,145.31
router_bigcodebench_20260529_080855,1,27.7,145.11
router_bigcodebench_20260529_080855,1,27.8,145.4
router_bigcodebench_20260529_080855,1,27.9,145.32
router_bigcodebench_20260529_080855,1,28.0,144.9
router_bigcodebench_20260529_080855,1,28.1,144.89
router_bigcodebench_20260529_080855,1,28.2,144.79
router_bigcodebench_20260529_080855,1,28.3,145.0
router_bigcodebench_20260529_080855,1,28.4,145.0
router_bigcodebench_20260529_080855,1,28.5,145.1
router_bigcodebench_20260529_080855,1,28.6,145.2
router_bigcodebench_20260529_080855,1,28.7,145.29
router_bigcodebench_20260529_080855,1,28.8,145.79
router_bigcodebench_20260529_080855,1,28.9,144.89
router_bigcodebench_20260529_080855,1,29.0,144.7
router_bigcodebench_20260529_080855,1,29.1,145.02
router_bigcodebench_20260529_080855,1,29.2,144.7
