experiment_name,measurement_id,time_s,power_watts
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,0.0,116.0
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,0.1,115.79
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,0.2,115.81
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,0.3,115.91
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,0.4,115.8
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,0.5,115.86
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,0.6,115.91
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,0.7,115.91
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,0.8,115.91
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,0.9,115.72
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,1.0,115.91
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,1.1,115.81
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,1.2,115.91
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,1.3,115.91
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,1.4,115.7
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,1.5,115.91
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,1.6,115.81
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,1.7,115.7
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,1.8,115.81
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,1.9,115.9
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,2.0,115.9
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,2.1,115.79
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,2.2,115.79
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,2.3,115.88
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,2.4,115.79
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,2.5,115.98
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,2.6,115.79
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,2.7,115.69
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,2.8,115.79
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,2.9,115.88
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,3.0,115.79
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,3.1,115.88
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,3.2,115.88
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,3.3,115.88
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,3.4,115.8
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,3.5,115.9
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,3.6,115.88
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,3.7,115.88
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,3.8,115.88
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,3.9,115.88
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,4.0,115.77
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,4.1,115.79
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,4.2,115.79
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,4.3,115.79
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,4.4,115.88
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,4.5,115.88
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,4.6,115.9
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,4.7,115.98
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,4.8,115.88
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,4.9,115.85
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,5.0,115.69
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,5.1,115.69
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,5.2,115.79
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,5.3,115.79
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,5.4,115.79
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,5.5,115.79
single_qwen3.5-35b-moe_bigcodebench_20260518_004957,1,5.6,115.88
