experiment_name,measurement_id,time_s,power_watts
random_gpqa_20260513_185712,1,0.0,117.09
random_gpqa_20260513_185712,1,0.1,117.0
random_gpqa_20260513_185712,1,0.2,117.09
random_gpqa_20260513_185712,1,0.3,117.08
random_gpqa_20260513_185712,1,0.4,117.0
random_gpqa_20260513_185712,1,0.5,117.2
random_gpqa_20260513_185712,1,0.6,117.09
random_gpqa_20260513_185712,1,0.7,117.09
random_gpqa_20260513_185712,1,0.8,117.09
random_gpqa_20260513_185712,1,0.9,117.09
random_gpqa_20260513_185712,1,1.0,117.07
random_gpqa_20260513_185712,1,1.1,117.08
random_gpqa_20260513_185712,1,1.2,117.0
random_gpqa_20260513_185712,1,1.3,117.09
random_gpqa_20260513_185712,1,1.4,117.08
random_gpqa_20260513_185712,1,1.5,117.09
random_gpqa_20260513_185712,1,1.6,117.19
random_gpqa_20260513_185712,1,1.7,117.09
random_gpqa_20260513_185712,1,1.8,117.08
random_gpqa_20260513_185712,1,1.9,117.18
random_gpqa_20260513_185712,1,2.0,117.18
random_gpqa_20260513_185712,1,2.1,117.18
random_gpqa_20260513_185712,1,2.2,117.07
random_gpqa_20260513_185712,1,2.3,117.07
random_gpqa_20260513_185712,1,2.4,117.07
random_gpqa_20260513_185712,1,2.5,117.16
random_gpqa_20260513_185712,1,2.6,117.28
random_gpqa_20260513_185712,1,2.7,117.16
random_gpqa_20260513_185712,1,2.8,117.16
random_gpqa_20260513_185712,1,2.9,117.07
random_gpqa_20260513_185712,1,3.0,116.98
random_gpqa_20260513_185712,1,3.1,117.05
random_gpqa_20260513_185712,1,3.2,117.07
random_gpqa_20260513_185712,1,3.3,117.07
random_gpqa_20260513_185712,1,3.4,117.07
random_gpqa_20260513_185712,1,3.5,116.97
random_gpqa_20260513_185712,1,3.6,117.07
random_gpqa_20260513_185712,1,3.7,117.07
random_gpqa_20260513_185712,1,3.8,117.05
random_gpqa_20260513_185712,1,3.9,117.16
random_gpqa_20260513_185712,1,4.0,117.18
random_gpqa_20260513_185712,1,4.1,117.06
random_gpqa_20260513_185712,1,4.2,117.07
random_gpqa_20260513_185712,1,4.3,117.26
random_gpqa_20260513_185712,1,4.4,117.16
random_gpqa_20260513_185712,1,4.5,117.05
random_gpqa_20260513_185712,1,4.6,117.07
random_gpqa_20260513_185712,1,4.7,117.06
random_gpqa_20260513_185712,1,4.8,117.18
random_gpqa_20260513_185712,1,4.9,117.08
random_gpqa_20260513_185712,1,5.0,117.07
random_gpqa_20260513_185712,1,5.1,117.04
random_gpqa_20260513_185712,1,5.2,117.07
random_gpqa_20260513_185712,1,5.3,117.07
random_gpqa_20260513_185712,1,5.4,116.97
random_gpqa_20260513_185712,1,5.5,116.97
random_gpqa_20260513_185712,1,5.6,117.07
random_gpqa_20260513_185712,1,5.7,116.97
random_gpqa_20260513_185712,1,5.8,116.97
random_gpqa_20260513_185712,1,5.9,117.16
random_gpqa_20260513_185712,1,6.0,117.07
random_gpqa_20260513_185712,1,6.1,117.07
random_gpqa_20260513_185712,1,6.2,117.07
random_gpqa_20260513_185712,1,6.3,117.16
random_gpqa_20260513_185712,1,6.4,117.09
random_gpqa_20260513_185712,1,6.5,117.09
random_gpqa_20260513_185712,1,6.6,117.18
random_gpqa_20260513_185712,1,6.7,117.09
random_gpqa_20260513_185712,1,6.8,117.09
random_gpqa_20260513_185712,1,6.9,117.09
random_gpqa_20260513_185712,1,7.0,117.09
random_gpqa_20260513_185712,1,7.1,116.98
random_gpqa_20260513_185712,1,7.2,117.0
random_gpqa_20260513_185712,1,7.3,116.97
random_gpqa_20260513_185712,1,7.4,117.07
random_gpqa_20260513_185712,1,7.5,116.96
random_gpqa_20260513_185712,1,7.6,116.97
random_gpqa_20260513_185712,1,7.7,116.97
random_gpqa_20260513_185712,1,7.8,117.07
random_gpqa_20260513_185712,1,7.9,117.07
