experiment_name,measurement_id,time_s,power_watts
single_qwen3.5-9b_gpqa_20260513_005049,1,0.0,117.09
single_qwen3.5-9b_gpqa_20260513_005049,1,0.1,117.09
single_qwen3.5-9b_gpqa_20260513_005049,1,0.2,117.19
single_qwen3.5-9b_gpqa_20260513_005049,1,0.3,116.89
single_qwen3.5-9b_gpqa_20260513_005049,1,0.4,117.07
single_qwen3.5-9b_gpqa_20260513_005049,1,0.5,117.09
single_qwen3.5-9b_gpqa_20260513_005049,1,0.6,117.16
single_qwen3.5-9b_gpqa_20260513_005049,1,0.7,116.98
single_qwen3.5-9b_gpqa_20260513_005049,1,0.8,117.09
single_qwen3.5-9b_gpqa_20260513_005049,1,0.9,117.09
single_qwen3.5-9b_gpqa_20260513_005049,1,1.0,117.0
single_qwen3.5-9b_gpqa_20260513_005049,1,1.1,116.89
single_qwen3.5-9b_gpqa_20260513_005049,1,1.2,117.2
single_qwen3.5-9b_gpqa_20260513_005049,1,1.3,117.0
single_qwen3.5-9b_gpqa_20260513_005049,1,1.4,117.17
single_qwen3.5-9b_gpqa_20260513_005049,1,1.5,117.27
single_qwen3.5-9b_gpqa_20260513_005049,1,1.6,117.18
single_qwen3.5-9b_gpqa_20260513_005049,1,1.7,117.08
single_qwen3.5-9b_gpqa_20260513_005049,1,1.8,116.87
single_qwen3.5-9b_gpqa_20260513_005049,1,1.9,116.97
single_qwen3.5-9b_gpqa_20260513_005049,1,2.0,116.97
single_qwen3.5-9b_gpqa_20260513_005049,1,2.1,117.06
single_qwen3.5-9b_gpqa_20260513_005049,1,2.2,116.96
single_qwen3.5-9b_gpqa_20260513_005049,1,2.3,116.97
single_qwen3.5-9b_gpqa_20260513_005049,1,2.4,117.08
single_qwen3.5-9b_gpqa_20260513_005049,1,2.5,116.97
single_qwen3.5-9b_gpqa_20260513_005049,1,2.6,117.11
single_qwen3.5-9b_gpqa_20260513_005049,1,2.7,116.98
single_qwen3.5-9b_gpqa_20260513_005049,1,2.8,116.98
single_qwen3.5-9b_gpqa_20260513_005049,1,2.9,116.98
single_qwen3.5-9b_gpqa_20260513_005049,1,3.0,116.97
single_qwen3.5-9b_gpqa_20260513_005049,1,3.1,116.86
single_qwen3.5-9b_gpqa_20260513_005049,1,3.2,117.06
single_qwen3.5-9b_gpqa_20260513_005049,1,3.3,116.85
single_qwen3.5-9b_gpqa_20260513_005049,1,3.4,116.95
single_qwen3.5-9b_gpqa_20260513_005049,1,3.5,117.07
single_qwen3.5-9b_gpqa_20260513_005049,1,3.6,116.85
single_qwen3.5-9b_gpqa_20260513_005049,1,3.7,116.85
single_qwen3.5-9b_gpqa_20260513_005049,1,3.8,116.85
single_qwen3.5-9b_gpqa_20260513_005049,1,3.9,116.85
single_qwen3.5-9b_gpqa_20260513_005049,1,4.0,116.76
single_qwen3.5-9b_gpqa_20260513_005049,1,4.1,116.85
single_qwen3.5-9b_gpqa_20260513_005049,1,4.2,117.04
single_qwen3.5-9b_gpqa_20260513_005049,1,4.3,116.94
single_qwen3.5-9b_gpqa_20260513_005049,1,4.4,117.07
single_qwen3.5-9b_gpqa_20260513_005049,1,4.5,117.05
single_qwen3.5-9b_gpqa_20260513_005049,1,4.6,116.86
single_qwen3.5-9b_gpqa_20260513_005049,1,4.7,116.96
single_qwen3.5-9b_gpqa_20260513_005049,1,4.8,116.96
single_qwen3.5-9b_gpqa_20260513_005049,1,4.9,116.85
single_qwen3.5-9b_gpqa_20260513_005049,1,5.0,116.85
single_qwen3.5-9b_gpqa_20260513_005049,1,5.1,117.04
single_qwen3.5-9b_gpqa_20260513_005049,1,5.2,116.86
single_qwen3.5-9b_gpqa_20260513_005049,1,5.3,116.85
single_qwen3.5-9b_gpqa_20260513_005049,1,5.4,117.04
single_qwen3.5-9b_gpqa_20260513_005049,1,5.5,116.85
single_qwen3.5-9b_gpqa_20260513_005049,1,5.6,117.04
single_qwen3.5-9b_gpqa_20260513_005049,1,5.7,116.96
single_qwen3.5-9b_gpqa_20260513_005049,1,5.8,116.85
single_qwen3.5-9b_gpqa_20260513_005049,1,5.9,116.95
single_qwen3.5-9b_gpqa_20260513_005049,1,6.0,116.85
single_qwen3.5-9b_gpqa_20260513_005049,1,6.1,116.96
single_qwen3.5-9b_gpqa_20260513_005049,1,6.2,117.07
single_qwen3.5-9b_gpqa_20260513_005049,1,6.3,116.96
single_qwen3.5-9b_gpqa_20260513_005049,1,6.4,116.95
single_qwen3.5-9b_gpqa_20260513_005049,1,6.5,116.96
single_qwen3.5-9b_gpqa_20260513_005049,1,6.6,117.06
single_qwen3.5-9b_gpqa_20260513_005049,1,6.7,117.06
single_qwen3.5-9b_gpqa_20260513_005049,1,6.8,116.97
single_qwen3.5-9b_gpqa_20260513_005049,1,6.9,116.89
single_qwen3.5-9b_gpqa_20260513_005049,1,7.0,116.97
single_qwen3.5-9b_gpqa_20260513_005049,1,7.1,116.98
single_qwen3.5-9b_gpqa_20260513_005049,1,7.2,116.98
single_qwen3.5-9b_gpqa_20260513_005049,1,7.3,117.0
single_qwen3.5-9b_gpqa_20260513_005049,1,7.4,116.9
