experiment_name,measurement_id,time_s,power_watts
single_qwen3.5-27b_livebench-da_20260521_023346,1,0.0,116.11
single_qwen3.5-27b_livebench-da_20260521_023346,1,0.1,116.09
single_qwen3.5-27b_livebench-da_20260521_023346,1,0.2,116.0
single_qwen3.5-27b_livebench-da_20260521_023346,1,0.3,115.91
single_qwen3.5-27b_livebench-da_20260521_023346,1,0.4,116.01
single_qwen3.5-27b_livebench-da_20260521_023346,1,0.5,116.01
single_qwen3.5-27b_livebench-da_20260521_023346,1,0.6,116.0
single_qwen3.5-27b_livebench-da_20260521_023346,1,0.7,116.07
single_qwen3.5-27b_livebench-da_20260521_023346,1,0.8,116.11
single_qwen3.5-27b_livebench-da_20260521_023346,1,0.9,116.11
single_qwen3.5-27b_livebench-da_20260521_023346,1,1.0,116.01
single_qwen3.5-27b_livebench-da_20260521_023346,1,1.1,116.11
single_qwen3.5-27b_livebench-da_20260521_023346,1,1.2,116.11
single_qwen3.5-27b_livebench-da_20260521_023346,1,1.3,116.0
single_qwen3.5-27b_livebench-da_20260521_023346,1,1.4,116.01
single_qwen3.5-27b_livebench-da_20260521_023346,1,1.5,116.11
single_qwen3.5-27b_livebench-da_20260521_023346,1,1.6,116.01
single_qwen3.5-27b_livebench-da_20260521_023346,1,1.7,116.11
single_qwen3.5-27b_livebench-da_20260521_023346,1,1.8,116.08
single_qwen3.5-27b_livebench-da_20260521_023346,1,1.9,115.98
single_qwen3.5-27b_livebench-da_20260521_023346,1,2.0,116.08
single_qwen3.5-27b_livebench-da_20260521_023346,1,2.1,116.08
single_qwen3.5-27b_livebench-da_20260521_023346,1,2.2,116.08
single_qwen3.5-27b_livebench-da_20260521_023346,1,2.3,116.08
single_qwen3.5-27b_livebench-da_20260521_023346,1,2.4,116.08
single_qwen3.5-27b_livebench-da_20260521_023346,1,2.5,115.98
single_qwen3.5-27b_livebench-da_20260521_023346,1,2.6,115.98
single_qwen3.5-27b_livebench-da_20260521_023346,1,2.7,115.98
single_qwen3.5-27b_livebench-da_20260521_023346,1,2.8,116.08
single_qwen3.5-27b_livebench-da_20260521_023346,1,2.9,115.98
single_qwen3.5-27b_livebench-da_20260521_023346,1,3.0,116.08
single_qwen3.5-27b_livebench-da_20260521_023346,1,3.1,116.08
single_qwen3.5-27b_livebench-da_20260521_023346,1,3.2,116.17
single_qwen3.5-27b_livebench-da_20260521_023346,1,3.3,116.18
single_qwen3.5-27b_livebench-da_20260521_023346,1,3.4,116.08
single_qwen3.5-27b_livebench-da_20260521_023346,1,3.5,116.08
single_qwen3.5-27b_livebench-da_20260521_023346,1,3.6,116.09
single_qwen3.5-27b_livebench-da_20260521_023346,1,3.7,116.08
single_qwen3.5-27b_livebench-da_20260521_023346,1,3.8,116.08
single_qwen3.5-27b_livebench-da_20260521_023346,1,3.9,116.18
single_qwen3.5-27b_livebench-da_20260521_023346,1,4.0,115.88
single_qwen3.5-27b_livebench-da_20260521_023346,1,4.1,115.98
single_qwen3.5-27b_livebench-da_20260521_023346,1,4.2,116.08
single_qwen3.5-27b_livebench-da_20260521_023346,1,4.3,116.07
single_qwen3.5-27b_livebench-da_20260521_023346,1,4.4,115.9
single_qwen3.5-27b_livebench-da_20260521_023346,1,4.5,116.09
single_qwen3.5-27b_livebench-da_20260521_023346,1,4.6,116.0
