experiment_name,measurement_id,time_s,power_watts
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,0.0,115.4
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,0.1,115.13
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,0.2,115.51
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,0.3,115.51
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,0.4,115.31
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,0.5,115.39
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,0.6,115.4
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,0.7,115.3
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,0.8,115.4
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,0.9,115.3
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,1.0,115.31
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,1.1,115.4
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,1.2,115.51
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,1.3,115.29
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,1.4,115.29
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,1.5,115.01
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,1.6,115.4
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,1.7,115.29
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,1.8,115.4
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,1.9,115.39
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,2.0,115.39
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,2.1,115.39
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,2.2,115.59
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,2.3,115.29
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,2.4,115.39
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,2.5,115.38
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,2.6,115.48
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,2.7,115.39
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,2.8,115.4
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,2.9,115.58
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,3.0,115.0
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,3.1,115.5
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,3.2,115.39
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,3.3,115.29
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,3.4,115.4
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,3.5,115.29
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,3.6,115.29
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,3.7,115.39
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,3.8,115.4
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,3.9,115.39
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,4.0,115.09
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,4.1,115.39
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,4.2,115.4
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,4.3,115.39
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,4.4,115.39
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,4.5,115.39
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,4.6,115.5
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,4.7,115.19
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,4.8,115.3
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,4.9,115.37
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,5.0,115.0
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,5.1,115.0
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,5.2,115.29
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,5.3,115.39
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,5.4,115.39
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,5.5,115.26
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,5.6,115.08
single_qwen3.5-35b-moe_livebench-da_20260521_015545,1,5.7,115.08
