experiment_name,experiment_alias,profile,experiment_type,benchmark,batch_size,configured_num_samples,num_gpus,per_gpu_vram_gb,measurement_id,scenario,event_index,timestamp,action,model_id,details,phase
average_mixed_random_routing_random_routing_4runs_20260612_080933,Random Router,uni,random_routing,mixed,32,400,2,80,1,random_routing,1,2026-06-10T07:47:41.226233,start,qwen3.5-27b,GPU(s)=[1],startup_preload
average_mixed_random_routing_random_routing_4runs_20260612_080933,Random Router,uni,random_routing,mixed,32,400,2,80,1,random_routing,2,2026-06-10T07:47:41.264937,start,qwen3.5-9b,GPU(s)=[1],startup_preload
average_mixed_random_routing_random_routing_4runs_20260612_080933,Random Router,uni,random_routing,mixed,32,400,2,80,1,random_routing,3,2026-06-10T07:47:41.304311,start,qwen3.5-35b-moe,GPU(s)=[0],startup_preload
average_mixed_random_routing_random_routing_4runs_20260612_080933,Random Router,uni,random_routing,mixed,32,400,2,80,1,random_routing,4,2026-06-10T07:47:41.329676,start,qwen3.5-4b,GPU(s)=[0],startup_preload
average_mixed_random_routing_random_routing_4runs_20260612_080933,Random Router,uni,random_routing,mixed,32,400,2,80,1,random_routing,5,2026-06-10T09:37:36.763503,stop,qwen3.5-4b,,runtime
average_mixed_random_routing_random_routing_4runs_20260612_080933,Random Router,uni,random_routing,mixed,32,400,2,80,1,random_routing,6,2026-06-10T09:37:37.680975,stop,qwen3.5-9b,,runtime
average_mixed_random_routing_random_routing_4runs_20260612_080933,Random Router,uni,random_routing,mixed,32,400,2,80,1,random_routing,7,2026-06-10T09:37:38.649063,stop,qwen3.5-35b-moe,,runtime
average_mixed_random_routing_random_routing_4runs_20260612_080933,Random Router,uni,random_routing,mixed,32,400,2,80,1,random_routing,8,2026-06-10T09:37:39.719791,stop,qwen3.5-27b,,runtime
average_mixed_random_routing_random_routing_4runs_20260612_080933,Random Router,uni,random_routing,mixed,32,400,2,80,2,random_routing,1,2026-06-11T23:05:51.551666,start,qwen3.5-27b,GPU(s)=[1],startup_preload
average_mixed_random_routing_random_routing_4runs_20260612_080933,Random Router,uni,random_routing,mixed,32,400,2,80,2,random_routing,2,2026-06-11T23:05:51.571462,start,qwen3.5-9b,GPU(s)=[1],startup_preload
average_mixed_random_routing_random_routing_4runs_20260612_080933,Random Router,uni,random_routing,mixed,32,400,2,80,2,random_routing,3,2026-06-11T23:05:51.591106,start,qwen3.5-35b-moe,GPU(s)=[0],startup_preload
average_mixed_random_routing_random_routing_4runs_20260612_080933,Random Router,uni,random_routing,mixed,32,400,2,80,2,random_routing,4,2026-06-11T23:05:51.610670,start,qwen3.5-4b,GPU(s)=[0],startup_preload
average_mixed_random_routing_random_routing_4runs_20260612_080933,Random Router,uni,random_routing,mixed,32,400,2,80,2,random_routing,5,2026-06-12T00:37:25.230575,stop,qwen3.5-4b,,runtime
average_mixed_random_routing_random_routing_4runs_20260612_080933,Random Router,uni,random_routing,mixed,32,400,2,80,2,random_routing,6,2026-06-12T00:37:26.951920,stop,qwen3.5-9b,,runtime
average_mixed_random_routing_random_routing_4runs_20260612_080933,Random Router,uni,random_routing,mixed,32,400,2,80,2,random_routing,7,2026-06-12T00:37:28.073425,stop,qwen3.5-35b-moe,,runtime
average_mixed_random_routing_random_routing_4runs_20260612_080933,Random Router,uni,random_routing,mixed,32,400,2,80,2,random_routing,8,2026-06-12T00:37:29.244768,stop,qwen3.5-27b,,runtime
average_mixed_random_routing_random_routing_4runs_20260612_080933,Random Router,uni,random_routing,mixed,32,400,2,80,3,random_routing,1,2026-06-12T00:52:00.906092,start,qwen3.5-27b,GPU(s)=[1],startup_preload
average_mixed_random_routing_random_routing_4runs_20260612_080933,Random Router,uni,random_routing,mixed,32,400,2,80,3,random_routing,2,2026-06-12T00:52:00.935148,start,qwen3.5-9b,GPU(s)=[1],startup_preload
average_mixed_random_routing_random_routing_4runs_20260612_080933,Random Router,uni,random_routing,mixed,32,400,2,80,3,random_routing,3,2026-06-12T00:52:00.964047,start,qwen3.5-35b-moe,GPU(s)=[0],startup_preload
average_mixed_random_routing_random_routing_4runs_20260612_080933,Random Router,uni,random_routing,mixed,32,400,2,80,3,random_routing,4,2026-06-12T00:52:00.992813,start,qwen3.5-4b,GPU(s)=[0],startup_preload
average_mixed_random_routing_random_routing_4runs_20260612_080933,Random Router,uni,random_routing,mixed,32,400,2,80,3,random_routing,5,2026-06-12T02:11:40.784216,stop,qwen3.5-4b,,runtime
average_mixed_random_routing_random_routing_4runs_20260612_080933,Random Router,uni,random_routing,mixed,32,400,2,80,3,random_routing,6,2026-06-12T02:11:41.753888,stop,qwen3.5-9b,,runtime
average_mixed_random_routing_random_routing_4runs_20260612_080933,Random Router,uni,random_routing,mixed,32,400,2,80,3,random_routing,7,2026-06-12T02:11:42.875068,stop,qwen3.5-35b-moe,,runtime
average_mixed_random_routing_random_routing_4runs_20260612_080933,Random Router,uni,random_routing,mixed,32,400,2,80,3,random_routing,8,2026-06-12T02:11:43.996281,stop,qwen3.5-27b,,runtime
average_mixed_random_routing_random_routing_4runs_20260612_080933,Random Router,uni,random_routing,mixed,32,400,2,80,4,random_routing,1,2026-06-12T02:17:35.210725,start,qwen3.5-27b,GPU(s)=[1],startup_preload
average_mixed_random_routing_random_routing_4runs_20260612_080933,Random Router,uni,random_routing,mixed,32,400,2,80,4,random_routing,2,2026-06-12T02:17:35.234863,start,qwen3.5-9b,GPU(s)=[1],startup_preload
average_mixed_random_routing_random_routing_4runs_20260612_080933,Random Router,uni,random_routing,mixed,32,400,2,80,4,random_routing,3,2026-06-12T02:17:35.258960,start,qwen3.5-35b-moe,GPU(s)=[0],startup_preload
average_mixed_random_routing_random_routing_4runs_20260612_080933,Random Router,uni,random_routing,mixed,32,400,2,80,4,random_routing,4,2026-06-12T02:17:35.283136,start,qwen3.5-4b,GPU(s)=[0],startup_preload
average_mixed_random_routing_random_routing_4runs_20260612_080933,Random Router,uni,random_routing,mixed,32,400,2,80,4,random_routing,5,2026-06-12T03:50:11.459323,stop,qwen3.5-4b,,runtime
average_mixed_random_routing_random_routing_4runs_20260612_080933,Random Router,uni,random_routing,mixed,32,400,2,80,4,random_routing,6,2026-06-12T03:50:12.477890,stop,qwen3.5-9b,,runtime
average_mixed_random_routing_random_routing_4runs_20260612_080933,Random Router,uni,random_routing,mixed,32,400,2,80,4,random_routing,7,2026-06-12T03:50:13.498231,stop,qwen3.5-35b-moe,,runtime
average_mixed_random_routing_random_routing_4runs_20260612_080933,Random Router,uni,random_routing,mixed,32,400,2,80,4,random_routing,8,2026-06-12T03:50:15.268318,stop,qwen3.5-27b,,runtime
