experiment_name,measurement_id,time_s,power_watts
baseline_mixed_20260608_205213,1,0.0,117.5
baseline_mixed_20260608_205213,1,0.1,117.57
baseline_mixed_20260608_205213,1,0.2,117.57
baseline_mixed_20260608_205213,1,0.3,117.47
baseline_mixed_20260608_205213,1,0.4,117.57
baseline_mixed_20260608_205213,1,0.5,117.57
baseline_mixed_20260608_205213,1,0.6,117.47
baseline_mixed_20260608_205213,1,0.7,117.57
baseline_mixed_20260608_205213,1,0.8,117.47
baseline_mixed_20260608_205213,1,0.9,117.56
baseline_mixed_20260608_205213,1,1.0,117.57
baseline_mixed_20260608_205213,1,1.1,117.57
baseline_mixed_20260608_205213,1,1.2,117.57
baseline_mixed_20260608_205213,1,1.3,117.47
baseline_mixed_20260608_205213,1,1.4,117.47
baseline_mixed_20260608_205213,1,1.5,117.47
baseline_mixed_20260608_205213,1,1.6,117.56
baseline_mixed_20260608_205213,1,1.7,117.47
baseline_mixed_20260608_205213,1,1.8,117.47
baseline_mixed_20260608_205213,1,1.9,117.37
baseline_mixed_20260608_205213,1,2.0,117.47
baseline_mixed_20260608_205213,1,2.1,117.47
baseline_mixed_20260608_205213,1,2.2,117.47
baseline_mixed_20260608_205213,1,2.3,117.47
baseline_mixed_20260608_205213,1,2.4,117.47
baseline_mixed_20260608_205213,1,2.5,117.47
baseline_mixed_20260608_205213,1,2.6,117.36
baseline_mixed_20260608_205213,1,2.7,117.47
baseline_mixed_20260608_205213,1,2.8,117.56
baseline_mixed_20260608_205213,1,2.9,117.47
baseline_mixed_20260608_205213,1,3.0,117.47
baseline_mixed_20260608_205213,1,3.1,117.57
baseline_mixed_20260608_205213,1,3.2,117.46
baseline_mixed_20260608_205213,1,3.3,117.47
baseline_mixed_20260608_205213,1,3.4,117.46
baseline_mixed_20260608_205213,1,3.5,117.47
baseline_mixed_20260608_205213,1,3.6,117.47
baseline_mixed_20260608_205213,1,3.7,117.38
baseline_mixed_20260608_205213,1,3.8,117.35
baseline_mixed_20260608_205213,1,3.9,117.46
baseline_mixed_20260608_205213,1,4.0,117.47
baseline_mixed_20260608_205213,1,4.1,117.36
baseline_mixed_20260608_205213,1,4.2,117.46
baseline_mixed_20260608_205213,1,4.3,117.47
baseline_mixed_20260608_205213,1,4.4,117.46
baseline_mixed_20260608_205213,1,4.5,117.37
baseline_mixed_20260608_205213,1,4.6,117.57
baseline_mixed_20260608_205213,1,4.7,117.47
baseline_mixed_20260608_205213,1,4.8,117.47
baseline_mixed_20260608_205213,1,4.9,117.47
baseline_mixed_20260608_205213,1,5.0,117.47
baseline_mixed_20260608_205213,1,5.1,117.47
baseline_mixed_20260608_205213,1,5.2,117.37
baseline_mixed_20260608_205213,1,5.3,117.4
baseline_mixed_20260608_205213,1,5.4,117.5
baseline_mixed_20260608_205213,1,5.5,117.29
baseline_mixed_20260608_205213,1,5.6,117.5
baseline_mixed_20260608_205213,1,5.7,117.5
baseline_mixed_20260608_205213,1,5.8,117.59
baseline_mixed_20260608_205213,1,5.9,117.39
baseline_mixed_20260608_205213,1,6.0,117.5
baseline_mixed_20260608_205213,1,6.1,117.38
baseline_mixed_20260608_205213,1,6.2,117.5
baseline_mixed_20260608_205213,1,6.3,117.48
baseline_mixed_20260608_205213,1,6.4,117.36
baseline_mixed_20260608_205213,1,6.5,117.48
baseline_mixed_20260608_205213,1,6.6,117.47
baseline_mixed_20260608_205213,1,6.7,117.28
baseline_mixed_20260608_205213,1,6.8,117.36
baseline_mixed_20260608_205213,1,6.9,117.48
baseline_mixed_20260608_205213,1,7.0,117.36
baseline_mixed_20260608_205213,1,7.1,117.47
baseline_mixed_20260608_205213,1,7.2,117.15
baseline_mixed_20260608_205213,1,7.3,117.37
baseline_mixed_20260608_205213,1,7.4,117.22
baseline_mixed_20260608_205213,1,7.5,117.37
baseline_mixed_20260608_205213,1,7.6,117.39
baseline_mixed_20260608_205213,1,7.7,117.39
baseline_mixed_20260608_205213,1,7.8,117.39
baseline_mixed_20260608_205213,1,7.9,117.5
baseline_mixed_20260608_205213,1,8.0,117.4
baseline_mixed_20260608_205213,1,8.1,117.19
baseline_mixed_20260608_205213,1,8.2,117.4
baseline_mixed_20260608_205213,1,8.3,117.5
baseline_mixed_20260608_205213,1,8.4,117.3
baseline_mixed_20260608_205213,1,8.5,117.17
baseline_mixed_20260608_205213,1,8.6,117.29
baseline_mixed_20260608_205213,1,8.7,117.29
baseline_mixed_20260608_205213,1,8.8,117.29
baseline_mixed_20260608_205213,1,8.9,117.29
baseline_mixed_20260608_205213,1,9.0,117.29
