experiment_name,measurement_id,time_s,power_watts
random_mixed_20260612_004142,1,0.0,115.23
random_mixed_20260612_004142,1,0.1,115.23
random_mixed_20260612_004142,1,0.2,115.22
random_mixed_20260612_004142,1,0.3,115.23
random_mixed_20260612_004142,1,0.4,115.13
random_mixed_20260612_004142,1,0.5,115.13
random_mixed_20260612_004142,1,0.6,115.09
random_mixed_20260612_004142,1,0.7,115.2
random_mixed_20260612_004142,1,0.8,115.02
random_mixed_20260612_004142,1,0.9,115.41
random_mixed_20260612_004142,1,1.0,115.3
random_mixed_20260612_004142,1,1.1,115.2
random_mixed_20260612_004142,1,1.2,115.22
random_mixed_20260612_004142,1,1.3,115.11
random_mixed_20260612_004142,1,1.4,115.2
random_mixed_20260612_004142,1,1.5,115.3
random_mixed_20260612_004142,1,1.6,115.2
random_mixed_20260612_004142,1,1.7,115.2
random_mixed_20260612_004142,1,1.8,115.3
random_mixed_20260612_004142,1,1.9,115.22
random_mixed_20260612_004142,1,2.0,115.3
random_mixed_20260612_004142,1,2.1,115.2
random_mixed_20260612_004142,1,2.2,115.2
random_mixed_20260612_004142,1,2.3,115.22
random_mixed_20260612_004142,1,2.4,115.2
random_mixed_20260612_004142,1,2.5,115.19
random_mixed_20260612_004142,1,2.6,115.3
random_mixed_20260612_004142,1,2.7,115.3
random_mixed_20260612_004142,1,2.8,115.2
random_mixed_20260612_004142,1,2.9,115.22
random_mixed_20260612_004142,1,3.0,115.3
random_mixed_20260612_004142,1,3.1,115.22
random_mixed_20260612_004142,1,3.2,115.4
random_mixed_20260612_004142,1,3.3,115.31
random_mixed_20260612_004142,1,3.4,115.22
random_mixed_20260612_004142,1,3.5,115.11
random_mixed_20260612_004142,1,3.6,115.4
random_mixed_20260612_004142,1,3.7,115.4
random_mixed_20260612_004142,1,3.8,115.22
random_mixed_20260612_004142,1,3.9,115.3
random_mixed_20260612_004142,1,4.0,115.2
random_mixed_20260612_004142,1,4.1,115.3
random_mixed_20260612_004142,1,4.2,115.1
random_mixed_20260612_004142,1,4.3,115.22
random_mixed_20260612_004142,1,4.4,115.19
random_mixed_20260612_004142,1,4.5,115.2
random_mixed_20260612_004142,1,4.6,115.12
random_mixed_20260612_004142,1,4.7,115.3
random_mixed_20260612_004142,1,4.8,115.2
random_mixed_20260612_004142,1,4.9,115.4
random_mixed_20260612_004142,1,5.0,115.2
random_mixed_20260612_004142,1,5.1,115.3
random_mixed_20260612_004142,1,5.2,115.2
random_mixed_20260612_004142,1,5.3,115.2
random_mixed_20260612_004142,1,5.4,115.22
random_mixed_20260612_004142,1,5.5,115.09
random_mixed_20260612_004142,1,5.6,115.36
random_mixed_20260612_004142,1,5.7,115.27
random_mixed_20260612_004142,1,5.8,115.12
random_mixed_20260612_004142,1,5.9,115.2
random_mixed_20260612_004142,1,6.0,115.2
random_mixed_20260612_004142,1,6.1,115.3
random_mixed_20260612_004142,1,6.2,115.11
random_mixed_20260612_004142,1,6.3,115.3
random_mixed_20260612_004142,1,6.4,115.1
random_mixed_20260612_004142,1,6.5,115.11
random_mixed_20260612_004142,1,6.6,115.2
random_mixed_20260612_004142,1,6.7,115.3
random_mixed_20260612_004142,1,6.8,115.22
random_mixed_20260612_004142,1,6.9,115.31
random_mixed_20260612_004142,1,7.0,115.22
random_mixed_20260612_004142,1,7.1,115.22
random_mixed_20260612_004142,1,7.2,115.03
random_mixed_20260612_004142,1,7.3,115.12
random_mixed_20260612_004142,1,7.4,115.23
random_mixed_20260612_004142,1,7.5,115.23
random_mixed_20260612_004142,1,7.6,115.13
random_mixed_20260612_004142,1,7.7,115.13
random_mixed_20260612_004142,1,7.8,115.12
random_mixed_20260612_004142,1,7.9,115.22
random_mixed_20260612_004142,1,8.0,115.22
random_mixed_20260612_004142,1,8.1,115.22
random_mixed_20260612_004142,1,8.2,115.31
random_mixed_20260612_004142,1,8.3,115.3
random_mixed_20260612_004142,1,8.4,115.01
random_mixed_20260612_004142,1,8.5,115.31
random_mixed_20260612_004142,1,8.6,115.3
random_mixed_20260612_004142,1,8.7,115.01
random_mixed_20260612_004142,1,8.8,115.2
random_mixed_20260612_004142,1,8.9,115.3
random_mixed_20260612_004142,1,9.0,115.19
random_mixed_20260612_004142,1,9.1,115.2
random_mixed_20260612_004142,1,9.2,115.01
random_mixed_20260612_004142,1,9.3,115.3
random_mixed_20260612_004142,1,9.4,115.09
random_mixed_20260612_004142,1,9.5,115.02
random_mixed_20260612_004142,1,9.6,115.13
random_mixed_20260612_004142,1,9.7,115.03
random_mixed_20260612_004142,1,9.8,115.07
random_mixed_20260612_004142,1,9.9,115.22
