experiment_name,measurement_id,time_s,power_watts
router_mixed_20260611_211326,1,0.0,129.53
router_mixed_20260611_211326,1,0.1,129.61
router_mixed_20260611_211326,1,0.2,129.68
router_mixed_20260611_211326,1,0.3,129.58
router_mixed_20260611_211326,1,0.4,129.58
router_mixed_20260611_211326,1,0.5,129.65
router_mixed_20260611_211326,1,0.6,129.58
router_mixed_20260611_211326,1,0.7,129.39
router_mixed_20260611_211326,1,0.8,129.48
router_mixed_20260611_211326,1,0.9,129.51
router_mixed_20260611_211326,1,1.0,129.5
router_mixed_20260611_211326,1,1.1,129.4
router_mixed_20260611_211326,1,1.2,129.49
router_mixed_20260611_211326,1,1.3,129.29
router_mixed_20260611_211326,1,1.4,129.39
router_mixed_20260611_211326,1,1.5,129.49
router_mixed_20260611_211326,1,1.6,129.39
router_mixed_20260611_211326,1,1.7,129.49
router_mixed_20260611_211326,1,1.8,129.39
router_mixed_20260611_211326,1,1.9,129.31
router_mixed_20260611_211326,1,2.0,129.31
router_mixed_20260611_211326,1,2.1,129.31
router_mixed_20260611_211326,1,2.2,129.29
router_mixed_20260611_211326,1,2.3,129.39
router_mixed_20260611_211326,1,2.4,129.29
router_mixed_20260611_211326,1,2.5,129.28
router_mixed_20260611_211326,1,2.6,129.36
router_mixed_20260611_211326,1,2.7,129.39
router_mixed_20260611_211326,1,2.8,129.39
router_mixed_20260611_211326,1,2.9,129.29
router_mixed_20260611_211326,1,3.0,129.31
router_mixed_20260611_211326,1,3.1,129.29
router_mixed_20260611_211326,1,3.2,129.18
router_mixed_20260611_211326,1,3.3,129.31
router_mixed_20260611_211326,1,3.4,129.19
router_mixed_20260611_211326,1,3.5,129.15
router_mixed_20260611_211326,1,3.6,129.08
router_mixed_20260611_211326,1,3.7,129.29
router_mixed_20260611_211326,1,3.8,128.97
router_mixed_20260611_211326,1,3.9,129.08
router_mixed_20260611_211326,1,4.0,129.05
router_mixed_20260611_211326,1,4.1,129.08
router_mixed_20260611_211326,1,4.2,129.19
router_mixed_20260611_211326,1,4.3,129.0
router_mixed_20260611_211326,1,4.4,128.97
