experiment_name,measurement_id,time_s,power_watts
single_qwen3.5-35b-moe_mixed_20260608_232747,1,0.0,118.58
single_qwen3.5-35b-moe_mixed_20260608_232747,1,0.1,118.47
single_qwen3.5-35b-moe_mixed_20260608_232747,1,0.2,118.58
single_qwen3.5-35b-moe_mixed_20260608_232747,1,0.3,118.57
single_qwen3.5-35b-moe_mixed_20260608_232747,1,0.4,118.68
single_qwen3.5-35b-moe_mixed_20260608_232747,1,0.5,118.56
single_qwen3.5-35b-moe_mixed_20260608_232747,1,0.6,119.28
single_qwen3.5-35b-moe_mixed_20260608_232747,1,0.7,118.57
single_qwen3.5-35b-moe_mixed_20260608_232747,1,0.8,118.65
single_qwen3.5-35b-moe_mixed_20260608_232747,1,0.9,118.65
single_qwen3.5-35b-moe_mixed_20260608_232747,1,1.0,118.47
single_qwen3.5-35b-moe_mixed_20260608_232747,1,1.1,118.58
single_qwen3.5-35b-moe_mixed_20260608_232747,1,1.2,118.46
single_qwen3.5-35b-moe_mixed_20260608_232747,1,1.3,118.57
single_qwen3.5-35b-moe_mixed_20260608_232747,1,1.4,118.78
single_qwen3.5-35b-moe_mixed_20260608_232747,1,1.5,118.58
single_qwen3.5-35b-moe_mixed_20260608_232747,1,1.6,118.49
single_qwen3.5-35b-moe_mixed_20260608_232747,1,1.7,118.47
single_qwen3.5-35b-moe_mixed_20260608_232747,1,1.8,118.49
single_qwen3.5-35b-moe_mixed_20260608_232747,1,1.9,118.58
single_qwen3.5-35b-moe_mixed_20260608_232747,1,2.0,118.36
single_qwen3.5-35b-moe_mixed_20260608_232747,1,2.1,118.56
single_qwen3.5-35b-moe_mixed_20260608_232747,1,2.2,118.49
single_qwen3.5-35b-moe_mixed_20260608_232747,1,2.3,118.48
single_qwen3.5-35b-moe_mixed_20260608_232747,1,2.4,118.46
single_qwen3.5-35b-moe_mixed_20260608_232747,1,2.5,118.46
single_qwen3.5-35b-moe_mixed_20260608_232747,1,2.6,118.56
single_qwen3.5-35b-moe_mixed_20260608_232747,1,2.7,118.46
single_qwen3.5-35b-moe_mixed_20260608_232747,1,2.8,118.56
single_qwen3.5-35b-moe_mixed_20260608_232747,1,2.9,118.35
single_qwen3.5-35b-moe_mixed_20260608_232747,1,3.0,118.56
single_qwen3.5-35b-moe_mixed_20260608_232747,1,3.1,118.54
single_qwen3.5-35b-moe_mixed_20260608_232747,1,3.2,118.65
single_qwen3.5-35b-moe_mixed_20260608_232747,1,3.3,118.64
single_qwen3.5-35b-moe_mixed_20260608_232747,1,3.4,118.34
single_qwen3.5-35b-moe_mixed_20260608_232747,1,3.5,118.43
single_qwen3.5-35b-moe_mixed_20260608_232747,1,3.6,118.54
single_qwen3.5-35b-moe_mixed_20260608_232747,1,3.7,118.45
single_qwen3.5-35b-moe_mixed_20260608_232747,1,3.8,118.56
single_qwen3.5-35b-moe_mixed_20260608_232747,1,3.9,118.43
single_qwen3.5-35b-moe_mixed_20260608_232747,1,4.0,118.54
single_qwen3.5-35b-moe_mixed_20260608_232747,1,4.1,118.44
