experiment_name,measurement_id,time_s,power_watts
baseline_mmlu-pro_20260604_142751,1,0.0,126.51
baseline_mmlu-pro_20260604_142751,1,0.1,126.6
baseline_mmlu-pro_20260604_142751,1,0.2,126.5
baseline_mmlu-pro_20260604_142751,1,0.3,126.5
baseline_mmlu-pro_20260604_142751,1,0.4,126.5
baseline_mmlu-pro_20260604_142751,1,0.5,126.6
baseline_mmlu-pro_20260604_142751,1,0.6,126.6
baseline_mmlu-pro_20260604_142751,1,0.7,126.5
baseline_mmlu-pro_20260604_142751,1,0.8,126.51
baseline_mmlu-pro_20260604_142751,1,0.9,126.6
baseline_mmlu-pro_20260604_142751,1,1.0,126.51
baseline_mmlu-pro_20260604_142751,1,1.1,126.5
baseline_mmlu-pro_20260604_142751,1,1.2,126.51
baseline_mmlu-pro_20260604_142751,1,1.3,126.5
baseline_mmlu-pro_20260604_142751,1,1.4,126.51
baseline_mmlu-pro_20260604_142751,1,1.5,126.4
baseline_mmlu-pro_20260604_142751,1,1.6,126.5
baseline_mmlu-pro_20260604_142751,1,1.7,126.4
baseline_mmlu-pro_20260604_142751,1,1.8,126.51
baseline_mmlu-pro_20260604_142751,1,1.9,126.4
baseline_mmlu-pro_20260604_142751,1,2.0,126.5
baseline_mmlu-pro_20260604_142751,1,2.1,126.4
baseline_mmlu-pro_20260604_142751,1,2.2,126.3
baseline_mmlu-pro_20260604_142751,1,2.3,126.41
baseline_mmlu-pro_20260604_142751,1,2.4,126.5
baseline_mmlu-pro_20260604_142751,1,2.5,126.32
baseline_mmlu-pro_20260604_142751,1,2.6,126.51
baseline_mmlu-pro_20260604_142751,1,2.7,126.41
baseline_mmlu-pro_20260604_142751,1,2.8,126.41
baseline_mmlu-pro_20260604_142751,1,2.9,126.4
baseline_mmlu-pro_20260604_142751,1,3.0,126.41
baseline_mmlu-pro_20260604_142751,1,3.1,126.39
baseline_mmlu-pro_20260604_142751,1,3.2,126.3
baseline_mmlu-pro_20260604_142751,1,3.3,126.41
baseline_mmlu-pro_20260604_142751,1,3.4,126.41
baseline_mmlu-pro_20260604_142751,1,3.5,126.4
baseline_mmlu-pro_20260604_142751,1,3.6,126.4
baseline_mmlu-pro_20260604_142751,1,3.7,126.21
baseline_mmlu-pro_20260604_142751,1,3.8,126.41
baseline_mmlu-pro_20260604_142751,1,3.9,126.4
baseline_mmlu-pro_20260604_142751,1,4.0,126.33
baseline_mmlu-pro_20260604_142751,1,4.1,126.3
baseline_mmlu-pro_20260604_142751,1,4.2,126.22
baseline_mmlu-pro_20260604_142751,1,4.3,126.32
baseline_mmlu-pro_20260604_142751,1,4.4,126.32
baseline_mmlu-pro_20260604_142751,1,4.5,126.21
baseline_mmlu-pro_20260604_142751,1,4.6,126.21
baseline_mmlu-pro_20260604_142751,1,4.7,126.22
baseline_mmlu-pro_20260604_142751,1,4.8,126.32
baseline_mmlu-pro_20260604_142751,1,4.9,126.01
baseline_mmlu-pro_20260604_142751,1,5.0,126.22
baseline_mmlu-pro_20260604_142751,1,5.1,126.22
baseline_mmlu-pro_20260604_142751,1,5.2,126.26
baseline_mmlu-pro_20260604_142751,1,5.3,126.27
baseline_mmlu-pro_20260604_142751,1,5.4,126.23
