experiment_name,measurement_id,time_s,power_watts
router_mmlu-pro_20260604_160204,1,0.0,116.67
router_mmlu-pro_20260604_160204,1,0.1,116.76
router_mmlu-pro_20260604_160204,1,0.2,116.67
router_mmlu-pro_20260604_160204,1,0.3,116.86
router_mmlu-pro_20260604_160204,1,0.4,116.76
router_mmlu-pro_20260604_160204,1,0.5,116.78
router_mmlu-pro_20260604_160204,1,0.6,116.67
router_mmlu-pro_20260604_160204,1,0.7,116.86
router_mmlu-pro_20260604_160204,1,0.8,116.75
router_mmlu-pro_20260604_160204,1,0.9,116.76
router_mmlu-pro_20260604_160204,1,1.0,116.76
router_mmlu-pro_20260604_160204,1,1.1,116.67
router_mmlu-pro_20260604_160204,1,1.2,116.86
router_mmlu-pro_20260604_160204,1,1.3,116.76
router_mmlu-pro_20260604_160204,1,1.4,116.86
router_mmlu-pro_20260604_160204,1,1.5,116.76
router_mmlu-pro_20260604_160204,1,1.6,116.68
router_mmlu-pro_20260604_160204,1,1.7,116.68
router_mmlu-pro_20260604_160204,1,1.8,116.78
router_mmlu-pro_20260604_160204,1,1.9,116.67
router_mmlu-pro_20260604_160204,1,2.0,116.76
router_mmlu-pro_20260604_160204,1,2.1,116.76
router_mmlu-pro_20260604_160204,1,2.2,116.76
router_mmlu-pro_20260604_160204,1,2.3,116.76
router_mmlu-pro_20260604_160204,1,2.4,116.76
router_mmlu-pro_20260604_160204,1,2.5,116.87
router_mmlu-pro_20260604_160204,1,2.6,116.67
router_mmlu-pro_20260604_160204,1,2.7,116.76
router_mmlu-pro_20260604_160204,1,2.8,116.86
router_mmlu-pro_20260604_160204,1,2.9,116.67
router_mmlu-pro_20260604_160204,1,3.0,116.64
router_mmlu-pro_20260604_160204,1,3.1,116.76
router_mmlu-pro_20260604_160204,1,3.2,116.67
router_mmlu-pro_20260604_160204,1,3.3,116.67
router_mmlu-pro_20260604_160204,1,3.4,116.76
router_mmlu-pro_20260604_160204,1,3.5,116.67
router_mmlu-pro_20260604_160204,1,3.6,116.67
