experiment_name,measurement_id,time_s,power_watts
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,0.0,116.08
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,0.1,115.68
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,0.2,115.7
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,0.3,116.0
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,0.4,115.98
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,0.5,115.78
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,0.6,115.89
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,0.7,116.08
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,0.8,115.79
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,0.9,115.59
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,1.0,116.08
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,1.1,115.98
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,1.2,115.69
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,1.3,115.98
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,1.4,116.08
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,1.5,115.69
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,1.6,116.08
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,1.7,116.08
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,1.8,116.08
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,1.9,116.19
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,2.0,116.08
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,2.1,116.08
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,2.2,115.98
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,2.3,115.69
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,2.4,115.69
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,2.5,115.98
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,2.6,116.18
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,2.7,116.08
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,2.8,116.17
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,2.9,115.98
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,3.0,115.98
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,3.1,115.69
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,3.2,115.69
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,3.3,115.98
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,3.4,115.98
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,3.5,115.98
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,3.6,116.08
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,3.7,115.98
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,3.8,116.08
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,3.9,115.98
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,4.0,115.98
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,4.1,115.78
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,4.2,116.19
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,4.3,116.08
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,4.4,116.08
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,4.5,115.98
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,4.6,116.17
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,4.7,116.08
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,4.8,116.18
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,4.9,115.98
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,5.0,116.08
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,5.1,115.98
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,5.2,116.08
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,5.3,116.08
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,5.4,115.98
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,5.5,116.07
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,5.6,116.08
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,5.7,116.08
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,5.8,116.06
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,5.9,116.08
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,6.0,116.08
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,6.1,116.08
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,6.2,116.09
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,6.3,116.08
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,6.4,115.98
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,6.5,115.98
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,6.6,116.08
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,6.7,116.07
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,6.8,115.97
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,6.9,115.98
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,7.0,116.18
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,7.1,116.08
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,7.2,115.98
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,7.3,116.08
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,7.4,116.09
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,7.5,116.11
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,7.6,116.11
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,7.7,116.0
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,7.8,116.01
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,7.9,116.01
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,8.0,116.01
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,8.1,116.09
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,8.2,115.98
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,8.3,116.08
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,8.4,116.08
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,8.5,116.08
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,8.6,116.08
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,8.7,116.08
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,8.8,116.08
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,8.9,115.98
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,9.0,116.08
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,9.1,115.97
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,9.2,115.98
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,9.3,116.08
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,9.4,116.07
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,9.5,115.98
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,9.6,116.08
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,9.7,116.08
single_qwen3.5-35b-moe_mmlu-pro_20260604_190142,1,9.8,116.06
