experiment_name,measurement_id,time_s,power_watts
random_bigcodebench_20260531_191208,1,0.0,115.31
random_bigcodebench_20260531_191208,1,0.1,115.51
random_bigcodebench_20260531_191208,1,0.2,115.61
random_bigcodebench_20260531_191208,1,0.3,115.41
random_bigcodebench_20260531_191208,1,0.4,115.31
random_bigcodebench_20260531_191208,1,0.5,115.51
random_bigcodebench_20260531_191208,1,0.6,115.48
random_bigcodebench_20260531_191208,1,0.7,115.33
random_bigcodebench_20260531_191208,1,0.8,115.52
random_bigcodebench_20260531_191208,1,0.9,115.42
random_bigcodebench_20260531_191208,1,1.0,115.41
random_bigcodebench_20260531_191208,1,1.1,115.52
random_bigcodebench_20260531_191208,1,1.2,115.51
random_bigcodebench_20260531_191208,1,1.3,115.42
random_bigcodebench_20260531_191208,1,1.4,115.52
random_bigcodebench_20260531_191208,1,1.5,115.42
random_bigcodebench_20260531_191208,1,1.6,115.41
random_bigcodebench_20260531_191208,1,1.7,115.49
random_bigcodebench_20260531_191208,1,1.8,115.59
random_bigcodebench_20260531_191208,1,1.9,115.3
random_bigcodebench_20260531_191208,1,2.0,115.29
random_bigcodebench_20260531_191208,1,2.1,115.49
random_bigcodebench_20260531_191208,1,2.2,115.4
random_bigcodebench_20260531_191208,1,2.3,115.59
random_bigcodebench_20260531_191208,1,2.4,115.19
random_bigcodebench_20260531_191208,1,2.5,115.5
random_bigcodebench_20260531_191208,1,2.6,115.2
random_bigcodebench_20260531_191208,1,2.7,115.3
random_bigcodebench_20260531_191208,1,2.8,115.2
random_bigcodebench_20260531_191208,1,2.9,115.51
random_bigcodebench_20260531_191208,1,3.0,115.41
random_bigcodebench_20260531_191208,1,3.1,115.51
random_bigcodebench_20260531_191208,1,3.2,115.3
random_bigcodebench_20260531_191208,1,3.3,115.2
random_bigcodebench_20260531_191208,1,3.4,115.4
random_bigcodebench_20260531_191208,1,3.5,115.4
random_bigcodebench_20260531_191208,1,3.6,115.49
random_bigcodebench_20260531_191208,1,3.7,115.3
random_bigcodebench_20260531_191208,1,3.8,115.4
random_bigcodebench_20260531_191208,1,3.9,115.31
random_bigcodebench_20260531_191208,1,4.0,115.39
random_bigcodebench_20260531_191208,1,4.1,115.5
random_bigcodebench_20260531_191208,1,4.2,115.48
random_bigcodebench_20260531_191208,1,4.3,115.3
random_bigcodebench_20260531_191208,1,4.4,115.29
random_bigcodebench_20260531_191208,1,4.5,115.28
random_bigcodebench_20260531_191208,1,4.6,115.3
random_bigcodebench_20260531_191208,1,4.7,115.3
random_bigcodebench_20260531_191208,1,4.8,115.3
random_bigcodebench_20260531_191208,1,4.9,115.29
random_bigcodebench_20260531_191208,1,5.0,115.49
random_bigcodebench_20260531_191208,1,5.1,115.4
random_bigcodebench_20260531_191208,1,5.2,115.3
random_bigcodebench_20260531_191208,1,5.3,115.4
random_bigcodebench_20260531_191208,1,5.4,115.31
random_bigcodebench_20260531_191208,1,5.5,115.3
random_bigcodebench_20260531_191208,1,5.6,115.29
random_bigcodebench_20260531_191208,1,5.7,115.47
random_bigcodebench_20260531_191208,1,5.8,115.4
random_bigcodebench_20260531_191208,1,5.9,115.38
random_bigcodebench_20260531_191208,1,6.0,115.4
random_bigcodebench_20260531_191208,1,6.1,115.41
random_bigcodebench_20260531_191208,1,6.2,115.5
random_bigcodebench_20260531_191208,1,6.3,115.4
random_bigcodebench_20260531_191208,1,6.4,115.5
random_bigcodebench_20260531_191208,1,6.5,115.4
random_bigcodebench_20260531_191208,1,6.6,115.4
random_bigcodebench_20260531_191208,1,6.7,115.3
random_bigcodebench_20260531_191208,1,6.8,115.4
