experiment_name,measurement_id,time_s,power_watts
single_qwen3.5-4b_bigcodebench_20260531_192836,1,0.0,128.4
single_qwen3.5-4b_bigcodebench_20260531_192836,1,0.1,128.4
single_qwen3.5-4b_bigcodebench_20260531_192836,1,0.2,128.19
single_qwen3.5-4b_bigcodebench_20260531_192836,1,0.3,128.42
single_qwen3.5-4b_bigcodebench_20260531_192836,1,0.4,128.21
single_qwen3.5-4b_bigcodebench_20260531_192836,1,0.5,128.32
single_qwen3.5-4b_bigcodebench_20260531_192836,1,0.6,128.29
single_qwen3.5-4b_bigcodebench_20260531_192836,1,0.7,128.32
single_qwen3.5-4b_bigcodebench_20260531_192836,1,0.8,128.21
single_qwen3.5-4b_bigcodebench_20260531_192836,1,0.9,128.32
single_qwen3.5-4b_bigcodebench_20260531_192836,1,1.0,128.22
single_qwen3.5-4b_bigcodebench_20260531_192836,1,1.1,128.11
single_qwen3.5-4b_bigcodebench_20260531_192836,1,1.2,128.21
single_qwen3.5-4b_bigcodebench_20260531_192836,1,1.3,128.29
single_qwen3.5-4b_bigcodebench_20260531_192836,1,1.4,128.29
single_qwen3.5-4b_bigcodebench_20260531_192836,1,1.5,128.31
single_qwen3.5-4b_bigcodebench_20260531_192836,1,1.6,128.29
single_qwen3.5-4b_bigcodebench_20260531_192836,1,1.7,128.1
single_qwen3.5-4b_bigcodebench_20260531_192836,1,1.8,128.19
single_qwen3.5-4b_bigcodebench_20260531_192836,1,1.9,128.1
single_qwen3.5-4b_bigcodebench_20260531_192836,1,2.0,128.21
single_qwen3.5-4b_bigcodebench_20260531_192836,1,2.1,128.19
single_qwen3.5-4b_bigcodebench_20260531_192836,1,2.2,128.21
single_qwen3.5-4b_bigcodebench_20260531_192836,1,2.3,128.12
single_qwen3.5-4b_bigcodebench_20260531_192836,1,2.4,128.21
single_qwen3.5-4b_bigcodebench_20260531_192836,1,2.5,128.12
single_qwen3.5-4b_bigcodebench_20260531_192836,1,2.6,128.19
single_qwen3.5-4b_bigcodebench_20260531_192836,1,2.7,128.0
single_qwen3.5-4b_bigcodebench_20260531_192836,1,2.8,128.12
single_qwen3.5-4b_bigcodebench_20260531_192836,1,2.9,128.12
single_qwen3.5-4b_bigcodebench_20260531_192836,1,3.0,128.12
single_qwen3.5-4b_bigcodebench_20260531_192836,1,3.1,128.03
single_qwen3.5-4b_bigcodebench_20260531_192836,1,3.2,128.03
single_qwen3.5-4b_bigcodebench_20260531_192836,1,3.3,128.12
single_qwen3.5-4b_bigcodebench_20260531_192836,1,3.4,128.1
single_qwen3.5-4b_bigcodebench_20260531_192836,1,3.5,128.1
single_qwen3.5-4b_bigcodebench_20260531_192836,1,3.6,128.0
single_qwen3.5-4b_bigcodebench_20260531_192836,1,3.7,128.19
single_qwen3.5-4b_bigcodebench_20260531_192836,1,3.8,128.0
single_qwen3.5-4b_bigcodebench_20260531_192836,1,3.9,127.9
single_qwen3.5-4b_bigcodebench_20260531_192836,1,4.0,128.0
single_qwen3.5-4b_bigcodebench_20260531_192836,1,4.1,127.89
single_qwen3.5-4b_bigcodebench_20260531_192836,1,4.2,128.1
single_qwen3.5-4b_bigcodebench_20260531_192836,1,4.3,128.0
single_qwen3.5-4b_bigcodebench_20260531_192836,1,4.4,127.99
single_qwen3.5-4b_bigcodebench_20260531_192836,1,4.5,127.99
single_qwen3.5-4b_bigcodebench_20260531_192836,1,4.6,128.0
single_qwen3.5-4b_bigcodebench_20260531_192836,1,4.7,127.99
single_qwen3.5-4b_bigcodebench_20260531_192836,1,4.8,128.1
single_qwen3.5-4b_bigcodebench_20260531_192836,1,4.9,127.88
single_qwen3.5-4b_bigcodebench_20260531_192836,1,5.0,127.89
single_qwen3.5-4b_bigcodebench_20260531_192836,1,5.1,127.88
single_qwen3.5-4b_bigcodebench_20260531_192836,1,5.2,127.89
