experiment_name,measurement_id,time_s,power_watts
baseline_gpqa_20260528_095417,1,0.0,115.81
baseline_gpqa_20260528_095417,1,0.1,115.91
baseline_gpqa_20260528_095417,1,0.2,115.81
baseline_gpqa_20260528_095417,1,0.3,115.91
baseline_gpqa_20260528_095417,1,0.4,115.91
baseline_gpqa_20260528_095417,1,0.5,115.81
baseline_gpqa_20260528_095417,1,0.6,115.8
baseline_gpqa_20260528_095417,1,0.7,115.72
baseline_gpqa_20260528_095417,1,0.8,115.8
baseline_gpqa_20260528_095417,1,0.9,115.9
baseline_gpqa_20260528_095417,1,1.0,115.81
baseline_gpqa_20260528_095417,1,1.1,116.01
baseline_gpqa_20260528_095417,1,1.2,115.81
baseline_gpqa_20260528_095417,1,1.3,115.91
baseline_gpqa_20260528_095417,1,1.4,115.91
baseline_gpqa_20260528_095417,1,1.5,115.91
baseline_gpqa_20260528_095417,1,1.6,115.72
baseline_gpqa_20260528_095417,1,1.7,115.8
baseline_gpqa_20260528_095417,1,1.8,115.91
baseline_gpqa_20260528_095417,1,1.9,115.81
baseline_gpqa_20260528_095417,1,2.0,115.7
baseline_gpqa_20260528_095417,1,2.1,115.7
baseline_gpqa_20260528_095417,1,2.2,115.8
baseline_gpqa_20260528_095417,1,2.3,115.69
baseline_gpqa_20260528_095417,1,2.4,115.9
baseline_gpqa_20260528_095417,1,2.5,115.79
baseline_gpqa_20260528_095417,1,2.6,115.98
baseline_gpqa_20260528_095417,1,2.7,115.98
baseline_gpqa_20260528_095417,1,2.8,115.69
baseline_gpqa_20260528_095417,1,2.9,115.88
baseline_gpqa_20260528_095417,1,3.0,115.79
baseline_gpqa_20260528_095417,1,3.1,115.79
baseline_gpqa_20260528_095417,1,3.2,115.9
baseline_gpqa_20260528_095417,1,3.3,115.69
baseline_gpqa_20260528_095417,1,3.4,115.78
baseline_gpqa_20260528_095417,1,3.5,115.69
baseline_gpqa_20260528_095417,1,3.6,115.98
baseline_gpqa_20260528_095417,1,3.7,115.89
baseline_gpqa_20260528_095417,1,3.8,115.79
baseline_gpqa_20260528_095417,1,3.9,115.79
baseline_gpqa_20260528_095417,1,4.0,115.88
baseline_gpqa_20260528_095417,1,4.1,115.79
baseline_gpqa_20260528_095417,1,4.2,115.88
baseline_gpqa_20260528_095417,1,4.3,115.78
baseline_gpqa_20260528_095417,1,4.4,115.79
baseline_gpqa_20260528_095417,1,4.5,115.88
baseline_gpqa_20260528_095417,1,4.6,115.88
baseline_gpqa_20260528_095417,1,4.7,115.89
baseline_gpqa_20260528_095417,1,4.8,115.8
baseline_gpqa_20260528_095417,1,4.9,115.7
baseline_gpqa_20260528_095417,1,5.0,115.98
baseline_gpqa_20260528_095417,1,5.1,115.79
baseline_gpqa_20260528_095417,1,5.2,115.79
baseline_gpqa_20260528_095417,1,5.3,115.81
baseline_gpqa_20260528_095417,1,5.4,115.91
baseline_gpqa_20260528_095417,1,5.5,115.81
baseline_gpqa_20260528_095417,1,5.6,115.91
baseline_gpqa_20260528_095417,1,5.7,115.81
baseline_gpqa_20260528_095417,1,5.8,115.79
baseline_gpqa_20260528_095417,1,5.9,115.91
baseline_gpqa_20260528_095417,1,6.0,115.81
baseline_gpqa_20260528_095417,1,6.1,115.8
baseline_gpqa_20260528_095417,1,6.2,116.01
baseline_gpqa_20260528_095417,1,6.3,115.88
baseline_gpqa_20260528_095417,1,6.4,115.9
baseline_gpqa_20260528_095417,1,6.5,115.91
baseline_gpqa_20260528_095417,1,6.6,115.91
baseline_gpqa_20260528_095417,1,6.7,115.9
baseline_gpqa_20260528_095417,1,6.8,115.81
baseline_gpqa_20260528_095417,1,6.9,115.72
baseline_gpqa_20260528_095417,1,7.0,115.8
baseline_gpqa_20260528_095417,1,7.1,115.91
baseline_gpqa_20260528_095417,1,7.2,115.91
baseline_gpqa_20260528_095417,1,7.3,116.01
baseline_gpqa_20260528_095417,1,7.4,115.69
baseline_gpqa_20260528_095417,1,7.5,115.9
baseline_gpqa_20260528_095417,1,7.6,115.9
baseline_gpqa_20260528_095417,1,7.7,115.98
baseline_gpqa_20260528_095417,1,7.8,115.69
baseline_gpqa_20260528_095417,1,7.9,115.69
baseline_gpqa_20260528_095417,1,8.0,115.79
baseline_gpqa_20260528_095417,1,8.1,115.79
baseline_gpqa_20260528_095417,1,8.2,115.79
baseline_gpqa_20260528_095417,1,8.3,115.79
baseline_gpqa_20260528_095417,1,8.4,115.98
baseline_gpqa_20260528_095417,1,8.5,115.79
baseline_gpqa_20260528_095417,1,8.6,115.88
baseline_gpqa_20260528_095417,1,8.7,115.98
baseline_gpqa_20260528_095417,1,8.8,115.87
baseline_gpqa_20260528_095417,1,8.9,115.88
baseline_gpqa_20260528_095417,1,9.0,115.81
baseline_gpqa_20260528_095417,1,9.1,115.81
baseline_gpqa_20260528_095417,1,9.2,115.81
baseline_gpqa_20260528_095417,1,9.3,115.81
baseline_gpqa_20260528_095417,1,9.4,115.81
baseline_gpqa_20260528_095417,1,9.5,115.8
baseline_gpqa_20260528_095417,1,9.6,115.89
baseline_gpqa_20260528_095417,1,9.7,115.88
baseline_gpqa_20260528_095417,1,9.8,115.98
baseline_gpqa_20260528_095417,1,9.9,115.89
baseline_gpqa_20260528_095417,1,10.0,115.9
baseline_gpqa_20260528_095417,1,10.1,115.88
baseline_gpqa_20260528_095417,1,10.2,115.88
baseline_gpqa_20260528_095417,1,10.3,115.88
baseline_gpqa_20260528_095417,1,10.4,115.88
baseline_gpqa_20260528_095417,1,10.5,115.88
baseline_gpqa_20260528_095417,1,10.6,115.69
baseline_gpqa_20260528_095417,1,10.7,115.88
baseline_gpqa_20260528_095417,1,10.8,115.79
baseline_gpqa_20260528_095417,1,10.9,115.89
baseline_gpqa_20260528_095417,1,11.0,115.7
baseline_gpqa_20260528_095417,1,11.1,115.88
baseline_gpqa_20260528_095417,1,11.2,115.79
baseline_gpqa_20260528_095417,1,11.3,115.9
baseline_gpqa_20260528_095417,1,11.4,115.88
baseline_gpqa_20260528_095417,1,11.5,115.88
baseline_gpqa_20260528_095417,1,11.6,115.88
baseline_gpqa_20260528_095417,1,11.7,115.87
baseline_gpqa_20260528_095417,1,11.8,115.69
baseline_gpqa_20260528_095417,1,11.9,115.98
baseline_gpqa_20260528_095417,1,12.0,115.79
baseline_gpqa_20260528_095417,1,12.1,115.89
baseline_gpqa_20260528_095417,1,12.2,115.8
baseline_gpqa_20260528_095417,1,12.3,115.88
baseline_gpqa_20260528_095417,1,12.4,115.79
baseline_gpqa_20260528_095417,1,12.5,115.87
baseline_gpqa_20260528_095417,1,12.6,115.79
baseline_gpqa_20260528_095417,1,12.7,115.79
baseline_gpqa_20260528_095417,1,12.8,115.79
baseline_gpqa_20260528_095417,1,12.9,115.8
baseline_gpqa_20260528_095417,1,13.0,115.69
baseline_gpqa_20260528_095417,1,13.1,115.79
baseline_gpqa_20260528_095417,1,13.2,115.8
baseline_gpqa_20260528_095417,1,13.3,115.88
baseline_gpqa_20260528_095417,1,13.4,115.78
baseline_gpqa_20260528_095417,1,13.5,115.79
baseline_gpqa_20260528_095417,1,13.6,115.79
baseline_gpqa_20260528_095417,1,13.7,115.88
baseline_gpqa_20260528_095417,1,13.8,115.9
baseline_gpqa_20260528_095417,1,13.9,115.79
baseline_gpqa_20260528_095417,1,14.0,115.8
baseline_gpqa_20260528_095417,1,14.1,115.69
baseline_gpqa_20260528_095417,1,14.2,115.8
baseline_gpqa_20260528_095417,1,14.3,115.79
baseline_gpqa_20260528_095417,1,14.4,115.79
baseline_gpqa_20260528_095417,1,14.5,115.79
baseline_gpqa_20260528_095417,1,14.6,115.79
baseline_gpqa_20260528_095417,1,14.7,115.87
baseline_gpqa_20260528_095417,1,14.8,115.79
baseline_gpqa_20260528_095417,1,14.9,115.69
baseline_gpqa_20260528_095417,1,15.0,115.69
baseline_gpqa_20260528_095417,1,15.1,115.79
baseline_gpqa_20260528_095417,1,15.2,115.79
baseline_gpqa_20260528_095417,1,15.3,115.79
baseline_gpqa_20260528_095417,1,15.4,115.9
baseline_gpqa_20260528_095417,1,15.5,115.79
baseline_gpqa_20260528_095417,1,15.6,115.79
baseline_gpqa_20260528_095417,1,15.7,115.79
baseline_gpqa_20260528_095417,1,15.8,115.8
baseline_gpqa_20260528_095417,1,15.9,115.88
baseline_gpqa_20260528_095417,1,16.0,115.79
