experiment_name,measurement_id,time_s,power_watts
router_gpqa_20260528_141045,1,0.0,116.3
router_gpqa_20260528_141045,1,0.1,116.29
router_gpqa_20260528_141045,1,0.2,116.3
router_gpqa_20260528_141045,1,0.3,116.4
router_gpqa_20260528_141045,1,0.4,116.3
router_gpqa_20260528_141045,1,0.5,116.28
router_gpqa_20260528_141045,1,0.6,116.3
router_gpqa_20260528_141045,1,0.7,116.29
router_gpqa_20260528_141045,1,0.8,116.2
router_gpqa_20260528_141045,1,0.9,116.19
router_gpqa_20260528_141045,1,1.0,116.4
router_gpqa_20260528_141045,1,1.1,116.19
router_gpqa_20260528_141045,1,1.2,116.2
router_gpqa_20260528_141045,1,1.3,116.2
router_gpqa_20260528_141045,1,1.4,116.3
router_gpqa_20260528_141045,1,1.5,116.28
router_gpqa_20260528_141045,1,1.6,116.28
router_gpqa_20260528_141045,1,1.7,116.28
router_gpqa_20260528_141045,1,1.8,116.18
router_gpqa_20260528_141045,1,1.9,116.28
router_gpqa_20260528_141045,1,2.0,116.28
router_gpqa_20260528_141045,1,2.1,116.28
router_gpqa_20260528_141045,1,2.2,116.28
router_gpqa_20260528_141045,1,2.3,116.18
router_gpqa_20260528_141045,1,2.4,116.18
router_gpqa_20260528_141045,1,2.5,116.29
router_gpqa_20260528_141045,1,2.6,116.28
router_gpqa_20260528_141045,1,2.7,116.18
router_gpqa_20260528_141045,1,2.8,116.18
router_gpqa_20260528_141045,1,2.9,116.19
router_gpqa_20260528_141045,1,3.0,116.28
router_gpqa_20260528_141045,1,3.1,116.28
router_gpqa_20260528_141045,1,3.2,116.18
router_gpqa_20260528_141045,1,3.3,116.17
router_gpqa_20260528_141045,1,3.4,116.18
router_gpqa_20260528_141045,1,3.5,116.18
router_gpqa_20260528_141045,1,3.6,116.37
router_gpqa_20260528_141045,1,3.7,116.37
router_gpqa_20260528_141045,1,3.8,116.28
router_gpqa_20260528_141045,1,3.9,116.19
router_gpqa_20260528_141045,1,4.0,116.26
router_gpqa_20260528_141045,1,4.1,116.28
router_gpqa_20260528_141045,1,4.2,116.26
router_gpqa_20260528_141045,1,4.3,116.28
router_gpqa_20260528_141045,1,4.4,116.28
router_gpqa_20260528_141045,1,4.5,116.28
router_gpqa_20260528_141045,1,4.6,116.28
router_gpqa_20260528_141045,1,4.7,116.18
router_gpqa_20260528_141045,1,4.8,116.26
router_gpqa_20260528_141045,1,4.9,116.18
router_gpqa_20260528_141045,1,5.0,116.28
router_gpqa_20260528_141045,1,5.1,116.28
router_gpqa_20260528_141045,1,5.2,116.37
router_gpqa_20260528_141045,1,5.3,116.18
router_gpqa_20260528_141045,1,5.4,116.39
router_gpqa_20260528_141045,1,5.5,116.19
router_gpqa_20260528_141045,1,5.6,116.3
router_gpqa_20260528_141045,1,5.7,116.3
router_gpqa_20260528_141045,1,5.8,116.29
router_gpqa_20260528_141045,1,5.9,116.3
router_gpqa_20260528_141045,1,6.0,116.11
router_gpqa_20260528_141045,1,6.1,116.09
router_gpqa_20260528_141045,1,6.2,116.18
router_gpqa_20260528_141045,1,6.3,116.2
router_gpqa_20260528_141045,1,6.4,116.28
router_gpqa_20260528_141045,1,6.5,116.19
router_gpqa_20260528_141045,1,6.6,115.88
router_gpqa_20260528_141045,1,6.7,115.91
router_gpqa_20260528_141045,1,6.8,115.79
router_gpqa_20260528_141045,1,6.9,115.91
router_gpqa_20260528_141045,1,7.0,116.01
router_gpqa_20260528_141045,1,7.1,115.91
router_gpqa_20260528_141045,1,7.2,115.91
router_gpqa_20260528_141045,1,7.3,115.91
router_gpqa_20260528_141045,1,7.4,115.8
router_gpqa_20260528_141045,1,7.5,115.88
router_gpqa_20260528_141045,1,7.6,115.88
router_gpqa_20260528_141045,1,7.7,115.79
router_gpqa_20260528_141045,1,7.8,115.79
router_gpqa_20260528_141045,1,7.9,115.88
router_gpqa_20260528_141045,1,8.0,115.88
router_gpqa_20260528_141045,1,8.1,115.69
router_gpqa_20260528_141045,1,8.2,115.79
router_gpqa_20260528_141045,1,8.3,115.87
router_gpqa_20260528_141045,1,8.4,115.79
router_gpqa_20260528_141045,1,8.5,115.69
router_gpqa_20260528_141045,1,8.6,115.69
router_gpqa_20260528_141045,1,8.7,115.79
router_gpqa_20260528_141045,1,8.8,115.59
router_gpqa_20260528_141045,1,8.9,115.69
router_gpqa_20260528_141045,1,9.0,115.69
router_gpqa_20260528_141045,1,9.1,115.7
router_gpqa_20260528_141045,1,9.2,115.79
router_gpqa_20260528_141045,1,9.3,115.79
router_gpqa_20260528_141045,1,9.4,116.08
router_gpqa_20260528_141045,1,9.5,115.98
router_gpqa_20260528_141045,1,9.6,115.97
router_gpqa_20260528_141045,1,9.7,115.88
router_gpqa_20260528_141045,1,9.8,115.98
router_gpqa_20260528_141045,1,9.9,115.88
router_gpqa_20260528_141045,1,10.0,115.98
router_gpqa_20260528_141045,1,10.1,115.88
router_gpqa_20260528_141045,1,10.2,115.98
router_gpqa_20260528_141045,1,10.3,115.98
router_gpqa_20260528_141045,1,10.4,116.08
router_gpqa_20260528_141045,1,10.5,116.08
router_gpqa_20260528_141045,1,10.6,115.98
router_gpqa_20260528_141045,1,10.7,116.08
router_gpqa_20260528_141045,1,10.8,115.88
router_gpqa_20260528_141045,1,10.9,115.98
router_gpqa_20260528_141045,1,11.0,116.08
router_gpqa_20260528_141045,1,11.1,115.88
router_gpqa_20260528_141045,1,11.2,115.88
router_gpqa_20260528_141045,1,11.3,115.98
router_gpqa_20260528_141045,1,11.4,115.88
router_gpqa_20260528_141045,1,11.5,115.98
router_gpqa_20260528_141045,1,11.6,115.88
router_gpqa_20260528_141045,1,11.7,115.88
router_gpqa_20260528_141045,1,11.8,115.88
router_gpqa_20260528_141045,1,11.9,115.88
router_gpqa_20260528_141045,1,12.0,115.88
router_gpqa_20260528_141045,1,12.1,115.88
router_gpqa_20260528_141045,1,12.2,115.88
router_gpqa_20260528_141045,1,12.3,115.98
router_gpqa_20260528_141045,1,12.4,115.88
router_gpqa_20260528_141045,1,12.5,116.0
router_gpqa_20260528_141045,1,12.6,115.97
router_gpqa_20260528_141045,1,12.7,115.88
router_gpqa_20260528_141045,1,12.8,115.98
router_gpqa_20260528_141045,1,12.9,115.88
router_gpqa_20260528_141045,1,13.0,115.98
router_gpqa_20260528_141045,1,13.1,115.98
router_gpqa_20260528_141045,1,13.2,115.88
router_gpqa_20260528_141045,1,13.3,115.9
router_gpqa_20260528_141045,1,13.4,115.88
router_gpqa_20260528_141045,1,13.5,115.79
