experiment_name,measurement_id,time_s,power_watts
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,0.0,118.65
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,0.1,118.63
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,0.2,118.75
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,0.3,118.63
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,0.4,118.63
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,0.5,118.63
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,0.6,118.64
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,0.7,118.58
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,0.8,118.68
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,0.9,118.76
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,1.0,118.65
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,1.1,118.78
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,1.2,118.67
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,1.3,118.75
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,1.4,118.72
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,1.5,118.83
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,1.6,118.65
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,1.7,118.64
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,1.8,118.54
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,1.9,118.65
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,2.0,118.64
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,2.1,118.63
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,2.2,118.75
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,2.3,118.74
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,2.4,118.73
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,2.5,118.75
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,2.6,118.63
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,2.7,118.73
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,2.8,118.81
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,2.9,118.64
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,3.0,118.75
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,3.1,118.73
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,3.2,118.64
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,3.3,118.63
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,3.4,118.64
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,3.5,118.64
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,3.6,118.65
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,3.7,118.73
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,3.8,118.62
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,3.9,118.63
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,4.0,118.65
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,4.1,118.64
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,4.2,118.63
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,4.3,118.74
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,4.4,118.52
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,4.5,118.64
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,4.6,118.64
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,4.7,118.62
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,4.8,118.62
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,4.9,118.72
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,5.0,118.63
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,5.1,118.53
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,5.2,118.53
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,5.3,118.63
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,5.4,118.53
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,5.5,118.54
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,5.6,118.62
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,5.7,118.63
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,5.8,118.64
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,5.9,118.65
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,6.0,118.54
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,6.1,118.52
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,6.2,118.54
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,6.3,118.64
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,6.4,118.42
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,6.5,118.53
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,6.6,118.54
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,6.7,118.63
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,6.8,118.45
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,6.9,118.54
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,7.0,118.43
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,7.1,118.54
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,7.2,118.63
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,7.3,118.53
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,7.4,118.53
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,7.5,118.52
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,7.6,118.54
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,7.7,118.53
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,7.8,118.54
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,7.9,118.52
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,8.0,118.43
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,8.1,118.52
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,8.2,118.45
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,8.3,118.54
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,8.4,118.54
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,8.5,118.52
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,8.6,118.43
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,8.7,118.56
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,8.8,118.53
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,8.9,118.56
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,9.0,118.46
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,9.1,118.65
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,9.2,118.44
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,9.3,118.44
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,9.4,118.46
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,9.5,118.48
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,9.6,118.58
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,9.7,118.37
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,9.8,118.53
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,9.9,118.46
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,10.0,118.37
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,10.1,118.39
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,10.2,118.26
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,10.3,118.45
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,10.4,118.45
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,10.5,118.45
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,10.6,118.44
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,10.7,118.46
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,10.8,118.36
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,10.9,118.44
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,11.0,118.46
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,11.1,118.24
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,11.2,118.34
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,11.3,118.35
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,11.4,118.36
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,11.5,118.25
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,11.6,118.36
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,11.7,118.32
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,11.8,118.33
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,11.9,118.32
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,12.0,118.44
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,12.1,118.44
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,12.2,118.33
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,12.3,118.34
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,12.4,118.25
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,12.5,118.36
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,12.6,118.34
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,12.7,118.34
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,12.8,118.31
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,12.9,118.43
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,13.0,118.32
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,13.1,118.46
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,13.2,118.24
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,13.3,118.43
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,13.4,118.34
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,13.5,118.34
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,13.6,118.34
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,13.7,118.24
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,13.8,118.34
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,13.9,118.24
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,14.0,118.25
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,14.1,118.25
single_qwen3.5-35b-moe_gpqa_20260528_105523,1,14.2,118.36
