experiment_name,measurement_id,time_s,power_watts
baseline_livebench-da_20260524_052823,1,0.0,115.33
baseline_livebench-da_20260524_052823,1,0.1,115.12
baseline_livebench-da_20260524_052823,1,0.2,115.31
baseline_livebench-da_20260524_052823,1,0.3,115.3
baseline_livebench-da_20260524_052823,1,0.4,115.22
baseline_livebench-da_20260524_052823,1,0.5,115.3
baseline_livebench-da_20260524_052823,1,0.6,115.31
baseline_livebench-da_20260524_052823,1,0.7,115.12
baseline_livebench-da_20260524_052823,1,0.8,115.3
baseline_livebench-da_20260524_052823,1,0.9,115.22
baseline_livebench-da_20260524_052823,1,1.0,115.12
baseline_livebench-da_20260524_052823,1,1.1,115.31
baseline_livebench-da_20260524_052823,1,1.2,115.22
baseline_livebench-da_20260524_052823,1,1.3,115.22
baseline_livebench-da_20260524_052823,1,1.4,115.11
baseline_livebench-da_20260524_052823,1,1.5,115.22
baseline_livebench-da_20260524_052823,1,1.6,115.22
baseline_livebench-da_20260524_052823,1,1.7,115.22
baseline_livebench-da_20260524_052823,1,1.8,115.22
baseline_livebench-da_20260524_052823,1,1.9,115.22
baseline_livebench-da_20260524_052823,1,2.0,115.19
baseline_livebench-da_20260524_052823,1,2.1,115.19
baseline_livebench-da_20260524_052823,1,2.2,115.29
baseline_livebench-da_20260524_052823,1,2.3,115.21
baseline_livebench-da_20260524_052823,1,2.4,115.21
baseline_livebench-da_20260524_052823,1,2.5,115.19
baseline_livebench-da_20260524_052823,1,2.6,115.09
baseline_livebench-da_20260524_052823,1,2.7,115.37
baseline_livebench-da_20260524_052823,1,2.8,115.21
baseline_livebench-da_20260524_052823,1,2.9,115.29
baseline_livebench-da_20260524_052823,1,3.0,115.19
baseline_livebench-da_20260524_052823,1,3.1,115.29
baseline_livebench-da_20260524_052823,1,3.2,115.09
baseline_livebench-da_20260524_052823,1,3.3,115.28
baseline_livebench-da_20260524_052823,1,3.4,115.38
baseline_livebench-da_20260524_052823,1,3.5,115.29
baseline_livebench-da_20260524_052823,1,3.6,115.21
baseline_livebench-da_20260524_052823,1,3.7,115.19
baseline_livebench-da_20260524_052823,1,3.8,115.21
baseline_livebench-da_20260524_052823,1,3.9,115.19
baseline_livebench-da_20260524_052823,1,4.0,115.29
baseline_livebench-da_20260524_052823,1,4.1,115.19
baseline_livebench-da_20260524_052823,1,4.2,115.29
baseline_livebench-da_20260524_052823,1,4.3,115.19
baseline_livebench-da_20260524_052823,1,4.4,115.19
baseline_livebench-da_20260524_052823,1,4.5,115.19
baseline_livebench-da_20260524_052823,1,4.6,115.29
baseline_livebench-da_20260524_052823,1,4.7,115.3
baseline_livebench-da_20260524_052823,1,4.8,115.49
baseline_livebench-da_20260524_052823,1,4.9,115.38
baseline_livebench-da_20260524_052823,1,5.0,115.19
baseline_livebench-da_20260524_052823,1,5.1,115.21
baseline_livebench-da_20260524_052823,1,5.2,115.19
baseline_livebench-da_20260524_052823,1,5.3,115.3
baseline_livebench-da_20260524_052823,1,5.4,115.31
baseline_livebench-da_20260524_052823,1,5.5,115.12
baseline_livebench-da_20260524_052823,1,5.6,115.41
