experiment_name,measurement_id,time_s,power_watts
random_livebench-da_20260524_070230,1,0.0,118.65
random_livebench-da_20260524_070230,1,0.1,118.68
random_livebench-da_20260524_070230,1,0.2,118.86
random_livebench-da_20260524_070230,1,0.3,118.87
random_livebench-da_20260524_070230,1,0.4,118.86
random_livebench-da_20260524_070230,1,0.5,118.86
random_livebench-da_20260524_070230,1,0.6,118.62
random_livebench-da_20260524_070230,1,0.7,118.86
random_livebench-da_20260524_070230,1,0.8,118.57
random_livebench-da_20260524_070230,1,0.9,118.87
random_livebench-da_20260524_070230,1,1.0,118.67
random_livebench-da_20260524_070230,1,1.1,118.59
random_livebench-da_20260524_070230,1,1.2,118.78
random_livebench-da_20260524_070230,1,1.3,118.56
random_livebench-da_20260524_070230,1,1.4,118.58
random_livebench-da_20260524_070230,1,1.5,118.57
random_livebench-da_20260524_070230,1,1.6,118.69
random_livebench-da_20260524_070230,1,1.7,118.78
random_livebench-da_20260524_070230,1,1.8,118.72
random_livebench-da_20260524_070230,1,1.9,118.85
random_livebench-da_20260524_070230,1,2.0,118.76
random_livebench-da_20260524_070230,1,2.1,118.65
random_livebench-da_20260524_070230,1,2.2,118.66
random_livebench-da_20260524_070230,1,2.3,118.66
random_livebench-da_20260524_070230,1,2.4,118.76
random_livebench-da_20260524_070230,1,2.5,118.76
random_livebench-da_20260524_070230,1,2.6,118.86
random_livebench-da_20260524_070230,1,2.7,118.84
random_livebench-da_20260524_070230,1,2.8,118.45
random_livebench-da_20260524_070230,1,2.9,118.65
random_livebench-da_20260524_070230,1,3.0,118.64
random_livebench-da_20260524_070230,1,3.1,118.64
random_livebench-da_20260524_070230,1,3.2,118.65
random_livebench-da_20260524_070230,1,3.3,118.56
random_livebench-da_20260524_070230,1,3.4,118.56
random_livebench-da_20260524_070230,1,3.5,118.56
random_livebench-da_20260524_070230,1,3.6,118.54
random_livebench-da_20260524_070230,1,3.7,118.56
random_livebench-da_20260524_070230,1,3.8,118.74
random_livebench-da_20260524_070230,1,3.9,118.65
random_livebench-da_20260524_070230,1,4.0,118.46
random_livebench-da_20260524_070230,1,4.1,118.54
random_livebench-da_20260524_070230,1,4.2,118.54
random_livebench-da_20260524_070230,1,4.3,118.55
random_livebench-da_20260524_070230,1,4.4,118.46
random_livebench-da_20260524_070230,1,4.5,118.53
random_livebench-da_20260524_070230,1,4.6,118.64
random_livebench-da_20260524_070230,1,4.7,118.86
random_livebench-da_20260524_070230,1,4.8,118.64
random_livebench-da_20260524_070230,1,4.9,118.75
random_livebench-da_20260524_070230,1,5.0,118.76
random_livebench-da_20260524_070230,1,5.1,118.56
random_livebench-da_20260524_070230,1,5.2,118.56
random_livebench-da_20260524_070230,1,5.3,118.66
random_livebench-da_20260524_070230,1,5.4,118.66
random_livebench-da_20260524_070230,1,5.5,118.44
random_livebench-da_20260524_070230,1,5.6,118.66
random_livebench-da_20260524_070230,1,5.7,118.64
random_livebench-da_20260524_070230,1,5.8,118.66
random_livebench-da_20260524_070230,1,5.9,118.56
