experiment_name,measurement_id,time_s,power_watts
router_livebench-da_20260528_172901,1,0.0,114.84
router_livebench-da_20260528_172901,1,0.1,114.84
router_livebench-da_20260528_172901,1,0.2,115.13
router_livebench-da_20260528_172901,1,0.3,115.03
router_livebench-da_20260528_172901,1,0.4,114.94
router_livebench-da_20260528_172901,1,0.5,115.03
router_livebench-da_20260528_172901,1,0.6,115.12
router_livebench-da_20260528_172901,1,0.7,114.94
router_livebench-da_20260528_172901,1,0.8,115.03
router_livebench-da_20260528_172901,1,0.9,114.94
router_livebench-da_20260528_172901,1,1.0,114.94
router_livebench-da_20260528_172901,1,1.1,115.12
router_livebench-da_20260528_172901,1,1.2,114.92
router_livebench-da_20260528_172901,1,1.3,115.01
router_livebench-da_20260528_172901,1,1.4,115.1
router_livebench-da_20260528_172901,1,1.5,114.91
router_livebench-da_20260528_172901,1,1.6,115.02
router_livebench-da_20260528_172901,1,1.7,115.01
router_livebench-da_20260528_172901,1,1.8,114.91
router_livebench-da_20260528_172901,1,1.9,114.91
router_livebench-da_20260528_172901,1,2.0,114.81
router_livebench-da_20260528_172901,1,2.1,115.02
router_livebench-da_20260528_172901,1,2.2,115.01
router_livebench-da_20260528_172901,1,2.3,114.81
router_livebench-da_20260528_172901,1,2.4,115.01
router_livebench-da_20260528_172901,1,2.5,115.1
router_livebench-da_20260528_172901,1,2.6,114.92
router_livebench-da_20260528_172901,1,2.7,114.91
router_livebench-da_20260528_172901,1,2.8,114.91
router_livebench-da_20260528_172901,1,2.9,115.02
router_livebench-da_20260528_172901,1,3.0,115.02
router_livebench-da_20260528_172901,1,3.1,114.91
router_livebench-da_20260528_172901,1,3.2,115.12
router_livebench-da_20260528_172901,1,3.3,115.1
router_livebench-da_20260528_172901,1,3.4,114.92
router_livebench-da_20260528_172901,1,3.5,115.0
router_livebench-da_20260528_172901,1,3.6,115.01
router_livebench-da_20260528_172901,1,3.7,115.12
router_livebench-da_20260528_172901,1,3.8,115.12
router_livebench-da_20260528_172901,1,3.9,115.01
router_livebench-da_20260528_172901,1,4.0,115.01
router_livebench-da_20260528_172901,1,4.1,115.0
router_livebench-da_20260528_172901,1,4.2,114.92
router_livebench-da_20260528_172901,1,4.3,115.01
