experiment_name,measurement_id,time_s,power_watts
random_mmlu-pro_20260606_180131,1,0.0,115.98
random_mmlu-pro_20260606_180131,1,0.1,115.7
random_mmlu-pro_20260606_180131,1,0.2,115.9
random_mmlu-pro_20260606_180131,1,0.3,115.9
random_mmlu-pro_20260606_180131,1,0.4,115.72
random_mmlu-pro_20260606_180131,1,0.5,115.91
random_mmlu-pro_20260606_180131,1,0.6,115.67
random_mmlu-pro_20260606_180131,1,0.7,116.08
random_mmlu-pro_20260606_180131,1,0.8,116.08
random_mmlu-pro_20260606_180131,1,0.9,116.09
random_mmlu-pro_20260606_180131,1,1.0,116.08
random_mmlu-pro_20260606_180131,1,1.1,115.89
random_mmlu-pro_20260606_180131,1,1.2,115.59
random_mmlu-pro_20260606_180131,1,1.3,115.98
random_mmlu-pro_20260606_180131,1,1.4,115.98
random_mmlu-pro_20260606_180131,1,1.5,116.07
random_mmlu-pro_20260606_180131,1,1.6,115.98
random_mmlu-pro_20260606_180131,1,1.7,115.69
random_mmlu-pro_20260606_180131,1,1.8,115.98
random_mmlu-pro_20260606_180131,1,1.9,115.98
random_mmlu-pro_20260606_180131,1,2.0,115.97
random_mmlu-pro_20260606_180131,1,2.1,115.69
random_mmlu-pro_20260606_180131,1,2.2,115.98
random_mmlu-pro_20260606_180131,1,2.3,115.97
random_mmlu-pro_20260606_180131,1,2.4,116.08
random_mmlu-pro_20260606_180131,1,2.5,116.08
random_mmlu-pro_20260606_180131,1,2.6,115.98
random_mmlu-pro_20260606_180131,1,2.7,116.08
random_mmlu-pro_20260606_180131,1,2.8,116.08
random_mmlu-pro_20260606_180131,1,2.9,115.68
random_mmlu-pro_20260606_180131,1,3.0,115.79
random_mmlu-pro_20260606_180131,1,3.1,116.08
random_mmlu-pro_20260606_180131,1,3.2,116.08
random_mmlu-pro_20260606_180131,1,3.3,115.98
random_mmlu-pro_20260606_180131,1,3.4,115.98
random_mmlu-pro_20260606_180131,1,3.5,116.08
random_mmlu-pro_20260606_180131,1,3.6,115.69
random_mmlu-pro_20260606_180131,1,3.7,115.69
random_mmlu-pro_20260606_180131,1,3.8,115.98
random_mmlu-pro_20260606_180131,1,3.9,115.98
random_mmlu-pro_20260606_180131,1,4.0,116.08
random_mmlu-pro_20260606_180131,1,4.1,116.08
random_mmlu-pro_20260606_180131,1,4.2,115.97
random_mmlu-pro_20260606_180131,1,4.3,115.98
random_mmlu-pro_20260606_180131,1,4.4,115.97
random_mmlu-pro_20260606_180131,1,4.5,116.08
random_mmlu-pro_20260606_180131,1,4.6,115.79
random_mmlu-pro_20260606_180131,1,4.7,115.69
random_mmlu-pro_20260606_180131,1,4.8,116.08
random_mmlu-pro_20260606_180131,1,4.9,115.98
random_mmlu-pro_20260606_180131,1,5.0,115.59
