experiment_name,measurement_id,time_s,power_watts
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,0.0,118.15
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,0.1,118.06
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,0.2,118.07
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,0.3,118.07
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,0.4,117.98
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,0.5,118.16
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,0.6,118.06
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,0.7,118.06
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,0.8,118.06
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,0.9,118.06
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,1.0,118.15
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,1.1,118.15
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,1.2,118.04
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,1.3,117.94
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,1.4,117.94
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,1.5,118.06
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,1.6,118.06
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,1.7,118.15
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,1.8,118.06
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,1.9,118.15
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,2.0,118.04
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,2.1,118.06
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,2.2,117.96
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,2.3,118.15
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,2.4,118.06
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,2.5,118.06
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,2.6,117.96
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,2.7,117.94
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,2.8,118.04
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,2.9,118.06
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,3.0,118.06
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,3.1,118.06
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,3.2,118.04
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,3.3,118.06
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,3.4,117.85
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,3.5,118.06
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,3.6,117.96
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,3.7,117.96
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,3.8,118.07
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,3.9,118.15
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,4.0,118.06
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,4.1,117.94
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,4.2,117.94
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,4.3,118.04
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,4.4,117.94
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,4.5,117.95
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,4.6,118.04
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,4.7,117.95
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,4.8,118.03
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,4.9,118.06
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,5.0,117.95
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,5.1,118.04
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,5.2,117.95
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,5.3,117.94
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,5.4,118.04
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,5.5,118.03
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,5.6,117.94
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,5.7,117.96
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,5.8,117.93
single_qwen3.5-27b_mmlu-pro_20260606_204645,1,5.9,118.06
