experiment_name,measurement_id,time_s,power_watts
baseline_livebench-da_20260520_215112,1,0.0,115.9
baseline_livebench-da_20260520_215112,1,0.1,116.01
baseline_livebench-da_20260520_215112,1,0.2,115.7
baseline_livebench-da_20260520_215112,1,0.3,115.89
baseline_livebench-da_20260520_215112,1,0.4,116.01
baseline_livebench-da_20260520_215112,1,0.5,116.0
baseline_livebench-da_20260520_215112,1,0.6,115.9
baseline_livebench-da_20260520_215112,1,0.7,115.91
baseline_livebench-da_20260520_215112,1,0.8,115.89
baseline_livebench-da_20260520_215112,1,0.9,116.01
baseline_livebench-da_20260520_215112,1,1.0,115.91
baseline_livebench-da_20260520_215112,1,1.1,116.09
baseline_livebench-da_20260520_215112,1,1.2,115.6
baseline_livebench-da_20260520_215112,1,1.3,115.9
baseline_livebench-da_20260520_215112,1,1.4,115.9
baseline_livebench-da_20260520_215112,1,1.5,115.8
baseline_livebench-da_20260520_215112,1,1.6,115.61
baseline_livebench-da_20260520_215112,1,1.7,115.98
baseline_livebench-da_20260520_215112,1,1.8,115.9
baseline_livebench-da_20260520_215112,1,1.9,116.0
baseline_livebench-da_20260520_215112,1,2.0,116.0
baseline_livebench-da_20260520_215112,1,2.1,115.98
baseline_livebench-da_20260520_215112,1,2.2,116.08
baseline_livebench-da_20260520_215112,1,2.3,115.9
baseline_livebench-da_20260520_215112,1,2.4,116.0
baseline_livebench-da_20260520_215112,1,2.5,116.0
baseline_livebench-da_20260520_215112,1,2.6,115.91
baseline_livebench-da_20260520_215112,1,2.7,115.9
baseline_livebench-da_20260520_215112,1,2.8,116.01
baseline_livebench-da_20260520_215112,1,2.9,115.72
baseline_livebench-da_20260520_215112,1,3.0,115.87
baseline_livebench-da_20260520_215112,1,3.1,115.97
baseline_livebench-da_20260520_215112,1,3.2,115.97
baseline_livebench-da_20260520_215112,1,3.3,115.87
baseline_livebench-da_20260520_215112,1,3.4,116.08
baseline_livebench-da_20260520_215112,1,3.5,115.98
baseline_livebench-da_20260520_215112,1,3.6,115.96
baseline_livebench-da_20260520_215112,1,3.7,115.98
baseline_livebench-da_20260520_215112,1,3.8,115.98
baseline_livebench-da_20260520_215112,1,3.9,115.69
baseline_livebench-da_20260520_215112,1,4.0,115.69
baseline_livebench-da_20260520_215112,1,4.1,115.98
baseline_livebench-da_20260520_215112,1,4.2,115.97
baseline_livebench-da_20260520_215112,1,4.3,115.97
baseline_livebench-da_20260520_215112,1,4.4,115.7
baseline_livebench-da_20260520_215112,1,4.5,115.48
baseline_livebench-da_20260520_215112,1,4.6,116.08
baseline_livebench-da_20260520_215112,1,4.7,116.08
baseline_livebench-da_20260520_215112,1,4.8,115.97
baseline_livebench-da_20260520_215112,1,4.9,115.97
baseline_livebench-da_20260520_215112,1,5.0,115.89
baseline_livebench-da_20260520_215112,1,5.1,115.97
baseline_livebench-da_20260520_215112,1,5.2,115.97
baseline_livebench-da_20260520_215112,1,5.3,115.77
baseline_livebench-da_20260520_215112,1,5.4,115.98
baseline_livebench-da_20260520_215112,1,5.5,115.89
baseline_livebench-da_20260520_215112,1,5.6,116.01
baseline_livebench-da_20260520_215112,1,5.7,115.9
baseline_livebench-da_20260520_215112,1,5.8,115.91
baseline_livebench-da_20260520_215112,1,5.9,115.6
baseline_livebench-da_20260520_215112,1,6.0,115.7
baseline_livebench-da_20260520_215112,1,6.1,116.01
baseline_livebench-da_20260520_215112,1,6.2,115.7
baseline_livebench-da_20260520_215112,1,6.3,115.62
baseline_livebench-da_20260520_215112,1,6.4,115.91
baseline_livebench-da_20260520_215112,1,6.5,116.01
baseline_livebench-da_20260520_215112,1,6.6,115.72
baseline_livebench-da_20260520_215112,1,6.7,115.61
baseline_livebench-da_20260520_215112,1,6.8,115.87
baseline_livebench-da_20260520_215112,1,6.9,115.98
baseline_livebench-da_20260520_215112,1,7.0,116.0
baseline_livebench-da_20260520_215112,1,7.1,115.91
baseline_livebench-da_20260520_215112,1,7.2,115.81
baseline_livebench-da_20260520_215112,1,7.3,115.72
baseline_livebench-da_20260520_215112,1,7.4,115.61
baseline_livebench-da_20260520_215112,1,7.5,115.81
baseline_livebench-da_20260520_215112,1,7.6,115.91
baseline_livebench-da_20260520_215112,1,7.7,115.6
baseline_livebench-da_20260520_215112,1,7.8,116.0
baseline_livebench-da_20260520_215112,1,7.9,115.88
baseline_livebench-da_20260520_215112,1,8.0,116.01
baseline_livebench-da_20260520_215112,1,8.1,115.68
baseline_livebench-da_20260520_215112,1,8.2,115.87
baseline_livebench-da_20260520_215112,1,8.3,115.69
baseline_livebench-da_20260520_215112,1,8.4,115.78
baseline_livebench-da_20260520_215112,1,8.5,115.87
baseline_livebench-da_20260520_215112,1,8.6,115.87
baseline_livebench-da_20260520_215112,1,8.7,115.69
baseline_livebench-da_20260520_215112,1,8.8,115.89
baseline_livebench-da_20260520_215112,1,8.9,115.87
baseline_livebench-da_20260520_215112,1,9.0,115.59
baseline_livebench-da_20260520_215112,1,9.1,115.9
baseline_livebench-da_20260520_215112,1,9.2,115.78
baseline_livebench-da_20260520_215112,1,9.3,115.89
baseline_livebench-da_20260520_215112,1,9.4,115.59
baseline_livebench-da_20260520_215112,1,9.5,115.9
baseline_livebench-da_20260520_215112,1,9.6,115.91
baseline_livebench-da_20260520_215112,1,9.7,115.59
baseline_livebench-da_20260520_215112,1,9.8,115.51
baseline_livebench-da_20260520_215112,1,9.9,115.8
baseline_livebench-da_20260520_215112,1,10.0,115.8
baseline_livebench-da_20260520_215112,1,10.1,115.48
baseline_livebench-da_20260520_215112,1,10.2,115.51
baseline_livebench-da_20260520_215112,1,10.3,115.8
baseline_livebench-da_20260520_215112,1,10.4,115.91
baseline_livebench-da_20260520_215112,1,10.5,115.62
baseline_livebench-da_20260520_215112,1,10.6,115.62
baseline_livebench-da_20260520_215112,1,10.7,115.9
baseline_livebench-da_20260520_215112,1,10.8,115.59
baseline_livebench-da_20260520_215112,1,10.9,115.59
baseline_livebench-da_20260520_215112,1,11.0,115.79
baseline_livebench-da_20260520_215112,1,11.1,115.89
baseline_livebench-da_20260520_215112,1,11.2,115.69
baseline_livebench-da_20260520_215112,1,11.3,115.49
baseline_livebench-da_20260520_215112,1,11.4,115.89
baseline_livebench-da_20260520_215112,1,11.5,115.78
baseline_livebench-da_20260520_215112,1,11.6,115.5
baseline_livebench-da_20260520_215112,1,11.7,115.59
baseline_livebench-da_20260520_215112,1,11.8,115.78
baseline_livebench-da_20260520_215112,1,11.9,115.87
baseline_livebench-da_20260520_215112,1,12.0,115.68
baseline_livebench-da_20260520_215112,1,12.1,115.68
baseline_livebench-da_20260520_215112,1,12.2,115.89
baseline_livebench-da_20260520_215112,1,12.3,115.87
baseline_livebench-da_20260520_215112,1,12.4,115.48
baseline_livebench-da_20260520_215112,1,12.5,115.87
baseline_livebench-da_20260520_215112,1,12.6,115.87
baseline_livebench-da_20260520_215112,1,12.7,115.68
baseline_livebench-da_20260520_215112,1,12.8,115.98
baseline_livebench-da_20260520_215112,1,12.9,115.69
baseline_livebench-da_20260520_215112,1,13.0,115.78
baseline_livebench-da_20260520_215112,1,13.1,115.89
baseline_livebench-da_20260520_215112,1,13.2,115.68
baseline_livebench-da_20260520_215112,1,13.3,115.47
baseline_livebench-da_20260520_215112,1,13.4,115.87
baseline_livebench-da_20260520_215112,1,13.5,115.89
baseline_livebench-da_20260520_215112,1,13.6,115.69
baseline_livebench-da_20260520_215112,1,13.7,115.69
baseline_livebench-da_20260520_215112,1,13.8,115.79
baseline_livebench-da_20260520_215112,1,13.9,115.89
baseline_livebench-da_20260520_215112,1,14.0,115.49
baseline_livebench-da_20260520_215112,1,14.1,115.48
baseline_livebench-da_20260520_215112,1,14.2,115.87
baseline_livebench-da_20260520_215112,1,14.3,115.78
baseline_livebench-da_20260520_215112,1,14.4,115.59
baseline_livebench-da_20260520_215112,1,14.5,115.48
baseline_livebench-da_20260520_215112,1,14.6,115.69
baseline_livebench-da_20260520_215112,1,14.7,115.78
baseline_livebench-da_20260520_215112,1,14.8,115.58
baseline_livebench-da_20260520_215112,1,14.9,115.48
baseline_livebench-da_20260520_215112,1,15.0,115.79
baseline_livebench-da_20260520_215112,1,15.1,115.9
baseline_livebench-da_20260520_215112,1,15.2,115.41
baseline_livebench-da_20260520_215112,1,15.3,115.79
baseline_livebench-da_20260520_215112,1,15.4,115.87
baseline_livebench-da_20260520_215112,1,15.5,115.59
baseline_livebench-da_20260520_215112,1,15.6,115.49
baseline_livebench-da_20260520_215112,1,15.7,115.89
baseline_livebench-da_20260520_215112,1,15.8,115.87
baseline_livebench-da_20260520_215112,1,15.9,115.59
baseline_livebench-da_20260520_215112,1,16.0,115.48
baseline_livebench-da_20260520_215112,1,16.1,115.89
baseline_livebench-da_20260520_215112,1,16.2,115.86
baseline_livebench-da_20260520_215112,1,16.3,115.58
baseline_livebench-da_20260520_215112,1,16.4,115.49
baseline_livebench-da_20260520_215112,1,16.5,115.79
baseline_livebench-da_20260520_215112,1,16.6,115.79
baseline_livebench-da_20260520_215112,1,16.7,115.59
baseline_livebench-da_20260520_215112,1,16.8,115.5
baseline_livebench-da_20260520_215112,1,16.9,115.87
baseline_livebench-da_20260520_215112,1,17.0,115.78
baseline_livebench-da_20260520_215112,1,17.1,115.58
baseline_livebench-da_20260520_215112,1,17.2,115.8
baseline_livebench-da_20260520_215112,1,17.3,115.9
baseline_livebench-da_20260520_215112,1,17.4,115.6
baseline_livebench-da_20260520_215112,1,17.5,115.8
baseline_livebench-da_20260520_215112,1,17.6,115.7
baseline_livebench-da_20260520_215112,1,17.7,115.79
baseline_livebench-da_20260520_215112,1,17.8,115.98
baseline_livebench-da_20260520_215112,1,17.9,115.59
baseline_livebench-da_20260520_215112,1,18.0,115.89
baseline_livebench-da_20260520_215112,1,18.1,115.89
baseline_livebench-da_20260520_215112,1,18.2,115.61
baseline_livebench-da_20260520_215112,1,18.3,115.78
baseline_livebench-da_20260520_215112,1,18.4,115.79
baseline_livebench-da_20260520_215112,1,18.5,115.4
baseline_livebench-da_20260520_215112,1,18.6,115.48
baseline_livebench-da_20260520_215112,1,18.7,115.8
baseline_livebench-da_20260520_215112,1,18.8,115.87
baseline_livebench-da_20260520_215112,1,18.9,115.5
baseline_livebench-da_20260520_215112,1,19.0,115.78
baseline_livebench-da_20260520_215112,1,19.1,115.79
baseline_livebench-da_20260520_215112,1,19.2,115.5
baseline_livebench-da_20260520_215112,1,19.3,115.78
baseline_livebench-da_20260520_215112,1,19.4,115.78
baseline_livebench-da_20260520_215112,1,19.5,115.78
baseline_livebench-da_20260520_215112,1,19.6,115.87
baseline_livebench-da_20260520_215112,1,19.7,115.87
baseline_livebench-da_20260520_215112,1,19.8,115.58
baseline_livebench-da_20260520_215112,1,19.9,115.78
baseline_livebench-da_20260520_215112,1,20.0,115.87
baseline_livebench-da_20260520_215112,1,20.1,115.58
baseline_livebench-da_20260520_215112,1,20.2,115.58
baseline_livebench-da_20260520_215112,1,20.3,115.78
baseline_livebench-da_20260520_215112,1,20.4,115.76
baseline_livebench-da_20260520_215112,1,20.5,115.68
baseline_livebench-da_20260520_215112,1,20.6,115.87
baseline_livebench-da_20260520_215112,1,20.7,115.78
baseline_livebench-da_20260520_215112,1,20.8,115.58
baseline_livebench-da_20260520_215112,1,20.9,115.48
baseline_livebench-da_20260520_215112,1,21.0,115.78
baseline_livebench-da_20260520_215112,1,21.1,115.87
baseline_livebench-da_20260520_215112,1,21.2,115.48
baseline_livebench-da_20260520_215112,1,21.3,115.78
baseline_livebench-da_20260520_215112,1,21.4,115.78
baseline_livebench-da_20260520_215112,1,21.5,115.48
baseline_livebench-da_20260520_215112,1,21.6,115.58
baseline_livebench-da_20260520_215112,1,21.7,115.78
baseline_livebench-da_20260520_215112,1,21.8,115.87
baseline_livebench-da_20260520_215112,1,21.9,115.68
baseline_livebench-da_20260520_215112,1,22.0,115.88
baseline_livebench-da_20260520_215112,1,22.1,115.48
baseline_livebench-da_20260520_215112,1,22.2,115.58
baseline_livebench-da_20260520_215112,1,22.3,115.78
baseline_livebench-da_20260520_215112,1,22.4,115.79
baseline_livebench-da_20260520_215112,1,22.5,115.58
baseline_livebench-da_20260520_215112,1,22.6,115.48
baseline_livebench-da_20260520_215112,1,22.7,115.89
baseline_livebench-da_20260520_215112,1,22.8,115.69
baseline_livebench-da_20260520_215112,1,22.9,115.58
baseline_livebench-da_20260520_215112,1,23.0,115.48
baseline_livebench-da_20260520_215112,1,23.1,115.78
baseline_livebench-da_20260520_215112,1,23.2,115.79
baseline_livebench-da_20260520_215112,1,23.3,115.59
baseline_livebench-da_20260520_215112,1,23.4,115.97
baseline_livebench-da_20260520_215112,1,23.5,115.86
baseline_livebench-da_20260520_215112,1,23.6,115.48
baseline_livebench-da_20260520_215112,1,23.7,115.48
baseline_livebench-da_20260520_215112,1,23.8,115.86
baseline_livebench-da_20260520_215112,1,23.9,115.78
baseline_livebench-da_20260520_215112,1,24.0,115.59
baseline_livebench-da_20260520_215112,1,24.1,115.78
baseline_livebench-da_20260520_215112,1,24.2,115.87
baseline_livebench-da_20260520_215112,1,24.3,115.96
baseline_livebench-da_20260520_215112,1,24.4,115.87
baseline_livebench-da_20260520_215112,1,24.5,115.59
baseline_livebench-da_20260520_215112,1,24.6,115.68
baseline_livebench-da_20260520_215112,1,24.7,115.87
baseline_livebench-da_20260520_215112,1,24.8,115.49
baseline_livebench-da_20260520_215112,1,24.9,115.87
baseline_livebench-da_20260520_215112,1,25.0,115.91
baseline_livebench-da_20260520_215112,1,25.1,115.52
baseline_livebench-da_20260520_215112,1,25.2,115.51
baseline_livebench-da_20260520_215112,1,25.3,115.7
baseline_livebench-da_20260520_215112,1,25.4,115.8
baseline_livebench-da_20260520_215112,1,25.5,115.52
baseline_livebench-da_20260520_215112,1,25.6,115.41
baseline_livebench-da_20260520_215112,1,25.7,115.9
baseline_livebench-da_20260520_215112,1,25.8,115.91
baseline_livebench-da_20260520_215112,1,25.9,115.62
baseline_livebench-da_20260520_215112,1,26.0,115.49
baseline_livebench-da_20260520_215112,1,26.1,115.87
baseline_livebench-da_20260520_215112,1,26.2,115.79
baseline_livebench-da_20260520_215112,1,26.3,115.58
baseline_livebench-da_20260520_215112,1,26.4,115.58
baseline_livebench-da_20260520_215112,1,26.5,115.89
baseline_livebench-da_20260520_215112,1,26.6,115.89
baseline_livebench-da_20260520_215112,1,26.7,115.43
baseline_livebench-da_20260520_215112,1,26.8,115.7
baseline_livebench-da_20260520_215112,1,26.9,115.68
baseline_livebench-da_20260520_215112,1,27.0,115.38
baseline_livebench-da_20260520_215112,1,27.1,136.37
baseline_livebench-da_20260520_215112,1,27.2,136.27
baseline_livebench-da_20260520_215112,1,27.3,135.68
baseline_livebench-da_20260520_215112,1,27.4,135.68
baseline_livebench-da_20260520_215112,1,27.5,136.37
baseline_livebench-da_20260520_215112,1,27.6,136.18
baseline_livebench-da_20260520_215112,1,27.7,156.16
baseline_livebench-da_20260520_215112,1,27.8,162.44
baseline_livebench-da_20260520_215112,1,27.9,160.28
baseline_livebench-da_20260520_215112,1,28.0,159.9
baseline_livebench-da_20260520_215112,1,28.1,158.03
baseline_livebench-da_20260520_215112,1,28.2,158.23
baseline_livebench-da_20260520_215112,1,28.3,157.34
baseline_livebench-da_20260520_215112,1,28.4,157.73
baseline_livebench-da_20260520_215112,1,28.5,158.44
baseline_livebench-da_20260520_215112,1,28.6,158.64
baseline_livebench-da_20260520_215112,1,28.7,158.42
baseline_livebench-da_20260520_215112,1,28.8,161.45
baseline_livebench-da_20260520_215112,1,28.9,164.99
baseline_livebench-da_20260520_215112,1,29.0,163.31
baseline_livebench-da_20260520_215112,1,29.1,162.07
baseline_livebench-da_20260520_215112,1,29.2,158.43
baseline_livebench-da_20260520_215112,1,29.3,157.44
baseline_livebench-da_20260520_215112,1,29.4,157.16
baseline_livebench-da_20260520_215112,1,29.5,158.03
baseline_livebench-da_20260520_215112,1,29.6,158.13
baseline_livebench-da_20260520_215112,1,29.7,157.46
baseline_livebench-da_20260520_215112,1,29.8,157.48
baseline_livebench-da_20260520_215112,1,29.9,158.03
baseline_livebench-da_20260520_215112,1,30.0,158.23
baseline_livebench-da_20260520_215112,1,30.1,157.82
baseline_livebench-da_20260520_215112,1,30.2,157.82
baseline_livebench-da_20260520_215112,1,30.3,158.42
baseline_livebench-da_20260520_215112,1,30.4,158.99
baseline_livebench-da_20260520_215112,1,30.5,158.51
baseline_livebench-da_20260520_215112,1,30.6,158.71
baseline_livebench-da_20260520_215112,1,30.7,159.0
baseline_livebench-da_20260520_215112,1,30.8,159.23
baseline_livebench-da_20260520_215112,1,30.9,158.53
baseline_livebench-da_20260520_215112,1,31.0,158.73
baseline_livebench-da_20260520_215112,1,31.1,158.91
baseline_livebench-da_20260520_215112,1,31.2,158.32
baseline_livebench-da_20260520_215112,1,31.3,158.31
baseline_livebench-da_20260520_215112,1,31.4,159.19
baseline_livebench-da_20260520_215112,1,31.5,159.21
baseline_livebench-da_20260520_215112,1,31.6,158.02
baseline_livebench-da_20260520_215112,1,31.7,157.73
baseline_livebench-da_20260520_215112,1,31.8,158.82
baseline_livebench-da_20260520_215112,1,31.9,158.71
baseline_livebench-da_20260520_215112,1,32.0,158.03
baseline_livebench-da_20260520_215112,1,32.1,158.03
baseline_livebench-da_20260520_215112,1,32.2,158.81
baseline_livebench-da_20260520_215112,1,32.3,158.62
baseline_livebench-da_20260520_215112,1,32.4,158.03
baseline_livebench-da_20260520_215112,1,32.5,158.32
baseline_livebench-da_20260520_215112,1,32.6,158.71
baseline_livebench-da_20260520_215112,1,32.7,159.21
baseline_livebench-da_20260520_215112,1,32.8,159.1
baseline_livebench-da_20260520_215112,1,32.9,158.32
baseline_livebench-da_20260520_215112,1,33.0,158.43
baseline_livebench-da_20260520_215112,1,33.1,159.2
baseline_livebench-da_20260520_215112,1,33.2,159.5
baseline_livebench-da_20260520_215112,1,33.3,159.4
baseline_livebench-da_20260520_215112,1,33.4,158.63
baseline_livebench-da_20260520_215112,1,33.5,159.29
baseline_livebench-da_20260520_215112,1,33.6,159.19
baseline_livebench-da_20260520_215112,1,33.7,159.6
baseline_livebench-da_20260520_215112,1,33.8,159.51
baseline_livebench-da_20260520_215112,1,33.9,159.02
baseline_livebench-da_20260520_215112,1,34.0,158.92
baseline_livebench-da_20260520_215112,1,34.1,159.12
baseline_livebench-da_20260520_215112,1,34.2,158.91
baseline_livebench-da_20260520_215112,1,34.3,159.02
baseline_livebench-da_20260520_215112,1,34.4,159.02
baseline_livebench-da_20260520_215112,1,34.5,159.31
baseline_livebench-da_20260520_215112,1,34.6,159.01
baseline_livebench-da_20260520_215112,1,34.7,158.91
baseline_livebench-da_20260520_215112,1,34.8,159.02
baseline_livebench-da_20260520_215112,1,34.9,159.12
baseline_livebench-da_20260520_215112,1,35.0,159.01
baseline_livebench-da_20260520_215112,1,35.1,159.12
baseline_livebench-da_20260520_215112,1,35.2,159.21
baseline_livebench-da_20260520_215112,1,35.3,159.12
baseline_livebench-da_20260520_215112,1,35.4,159.21
baseline_livebench-da_20260520_215112,1,35.5,159.5
baseline_livebench-da_20260520_215112,1,35.6,160.1
baseline_livebench-da_20260520_215112,1,35.7,160.07
baseline_livebench-da_20260520_215112,1,35.8,160.58
baseline_livebench-da_20260520_215112,1,35.9,159.91
baseline_livebench-da_20260520_215112,1,36.0,160.07
baseline_livebench-da_20260520_215112,1,36.1,160.18
baseline_livebench-da_20260520_215112,1,36.2,160.28
baseline_livebench-da_20260520_215112,1,36.3,160.26
baseline_livebench-da_20260520_215112,1,36.4,160.0
baseline_livebench-da_20260520_215112,1,36.5,159.69
baseline_livebench-da_20260520_215112,1,36.6,159.91
baseline_livebench-da_20260520_215112,1,36.7,159.68
baseline_livebench-da_20260520_215112,1,36.8,159.99
baseline_livebench-da_20260520_215112,1,36.9,159.89
baseline_livebench-da_20260520_215112,1,37.0,160.0
baseline_livebench-da_20260520_215112,1,37.1,158.73
baseline_livebench-da_20260520_215112,1,37.2,159.19
baseline_livebench-da_20260520_215112,1,37.3,159.21
baseline_livebench-da_20260520_215112,1,37.4,159.21
baseline_livebench-da_20260520_215112,1,37.5,159.2
