experiment_name,measurement_id,time_s,power_watts
random_livebench-da_20260615_094724,1,0.0,27.74
random_livebench-da_20260615_094724,1,0.1,27.74
random_livebench-da_20260615_094724,1,0.2,27.74
random_livebench-da_20260615_094724,1,0.3,27.74
random_livebench-da_20260615_094724,1,0.4,27.74
random_livebench-da_20260615_094724,1,0.5,27.74
random_livebench-da_20260615_094724,1,0.6,27.65
random_livebench-da_20260615_094724,1,0.7,27.65
random_livebench-da_20260615_094724,1,0.8,27.65
random_livebench-da_20260615_094724,1,0.9,27.65
random_livebench-da_20260615_094724,1,1.0,27.65
random_livebench-da_20260615_094724,1,1.1,27.65
random_livebench-da_20260615_094724,1,1.2,27.65
random_livebench-da_20260615_094724,1,1.3,27.65
random_livebench-da_20260615_094724,1,1.4,27.65
random_livebench-da_20260615_094724,1,1.5,27.65
random_livebench-da_20260615_094724,1,1.6,27.62
random_livebench-da_20260615_094724,1,1.7,27.62
random_livebench-da_20260615_094724,1,1.8,27.62
random_livebench-da_20260615_094724,1,1.9,27.62
random_livebench-da_20260615_094724,1,2.0,27.62
random_livebench-da_20260615_094724,1,2.1,27.62
random_livebench-da_20260615_094724,1,2.2,27.62
random_livebench-da_20260615_094724,1,2.3,27.62
random_livebench-da_20260615_094724,1,2.4,27.62
random_livebench-da_20260615_094724,1,2.5,27.62
random_livebench-da_20260615_094724,1,2.6,27.73
random_livebench-da_20260615_094724,1,2.7,27.73
random_livebench-da_20260615_094724,1,2.8,27.73
random_livebench-da_20260615_094724,1,2.9,27.73
random_livebench-da_20260615_094724,1,3.0,27.73
random_livebench-da_20260615_094724,1,3.1,27.73
random_livebench-da_20260615_094724,1,3.2,27.73
random_livebench-da_20260615_094724,1,3.3,27.73
random_livebench-da_20260615_094724,1,3.4,27.73
random_livebench-da_20260615_094724,1,3.5,27.73
random_livebench-da_20260615_094724,1,3.6,27.63
random_livebench-da_20260615_094724,1,3.7,27.63
random_livebench-da_20260615_094724,1,3.8,27.63
random_livebench-da_20260615_094724,1,3.9,27.63
random_livebench-da_20260615_094724,1,4.0,27.63
random_livebench-da_20260615_094724,1,4.1,29.95
random_livebench-da_20260615_094724,1,4.2,29.95
random_livebench-da_20260615_094724,1,4.3,29.95
random_livebench-da_20260615_094724,1,4.4,29.95
random_livebench-da_20260615_094724,1,4.5,31.79
random_livebench-da_20260615_094724,1,4.6,31.79
random_livebench-da_20260615_094724,1,4.7,31.79
random_livebench-da_20260615_094724,1,4.8,31.79
random_livebench-da_20260615_094724,1,4.9,31.79
random_livebench-da_20260615_094724,1,5.0,36.16
random_livebench-da_20260615_094724,1,5.1,36.16
random_livebench-da_20260615_094724,1,5.2,36.16
random_livebench-da_20260615_094724,1,5.3,36.16
random_livebench-da_20260615_094724,1,5.4,36.16
random_livebench-da_20260615_094724,1,5.5,36.16
random_livebench-da_20260615_094724,1,5.6,36.16
random_livebench-da_20260615_094724,1,5.7,36.16
random_livebench-da_20260615_094724,1,5.8,36.16
random_livebench-da_20260615_094724,1,5.9,36.16
random_livebench-da_20260615_094724,1,6.0,28.97
random_livebench-da_20260615_094724,1,6.1,28.97
random_livebench-da_20260615_094724,1,6.2,28.97
random_livebench-da_20260615_094724,1,6.3,28.97
random_livebench-da_20260615_094724,1,6.4,28.97
random_livebench-da_20260615_094724,1,6.5,29.5
random_livebench-da_20260615_094724,1,6.6,29.5
random_livebench-da_20260615_094724,1,6.7,29.5
random_livebench-da_20260615_094724,1,6.8,29.5
random_livebench-da_20260615_094724,1,6.9,29.5
random_livebench-da_20260615_094724,1,7.0,33.27
random_livebench-da_20260615_094724,1,7.1,33.27
random_livebench-da_20260615_094724,1,7.2,33.27
random_livebench-da_20260615_094724,1,7.3,33.27
random_livebench-da_20260615_094724,1,7.4,33.27
random_livebench-da_20260615_094724,1,7.5,33.78
random_livebench-da_20260615_094724,1,7.6,33.78
random_livebench-da_20260615_094724,1,7.7,33.78
random_livebench-da_20260615_094724,1,7.8,33.78
random_livebench-da_20260615_094724,1,7.9,33.78
random_livebench-da_20260615_094724,1,8.0,33.78
random_livebench-da_20260615_094724,1,8.1,33.78
random_livebench-da_20260615_094724,1,8.2,33.78
random_livebench-da_20260615_094724,1,8.3,33.78
random_livebench-da_20260615_094724,1,8.4,33.78
random_livebench-da_20260615_094724,1,8.5,28.54
random_livebench-da_20260615_094724,1,8.6,28.54
random_livebench-da_20260615_094724,1,8.7,28.54
random_livebench-da_20260615_094724,1,8.8,28.54
random_livebench-da_20260615_094724,1,8.9,28.54
random_livebench-da_20260615_094724,1,9.0,28.54
random_livebench-da_20260615_094724,1,9.1,28.54
random_livebench-da_20260615_094724,1,9.2,28.54
random_livebench-da_20260615_094724,1,9.3,28.54
random_livebench-da_20260615_094724,1,9.4,28.54
random_livebench-da_20260615_094724,1,9.5,27.62
random_livebench-da_20260615_094724,1,9.6,27.62
random_livebench-da_20260615_094724,1,9.7,27.62
random_livebench-da_20260615_094724,1,9.8,27.62
random_livebench-da_20260615_094724,1,9.9,27.62
random_livebench-da_20260615_094724,1,10.0,27.62
random_livebench-da_20260615_094724,1,10.1,27.62
random_livebench-da_20260615_094724,1,10.2,27.62
random_livebench-da_20260615_094724,1,10.3,27.62
random_livebench-da_20260615_094724,1,10.4,27.62
random_livebench-da_20260615_094724,1,10.5,27.49
random_livebench-da_20260615_094724,1,10.6,27.49
random_livebench-da_20260615_094724,1,10.7,27.49
random_livebench-da_20260615_094724,1,10.8,27.49
random_livebench-da_20260615_094724,1,10.9,27.49
random_livebench-da_20260615_094724,1,11.0,28.48
